,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:28:40,286,180,180,-,-
11/01/2021 02:31:42,286,180,180,-,-
11/01/2021 15:00:05,286,180,180,-,-
11/01/2021 15:03:01,286,180,180,-,-
11/01/2021 17:59:53,286,180,180,-,-
11/01/2021 18:02:56,286,180,180,-,-
13/01/2021 13:52:47,286,100,100,-,-
13/01/2021 13:52:50,286,100,100,-,-
13/01/2021 13:56:26,286,100,100,-,-
13/01/2021 13:56:29,286,100,100,-,-
13/01/2021 15:06:36,286,100,100,-,-
13/01/2021 15:06:40,286,100,100,-,-
13/01/2021 15:10:16,286,100,100,-,-
13/01/2021 15:10:19,286,100,100,-,-
13/01/2021 16:10:11,286,100,100,-,-
13/01/2021 16:10:15,286,100,100,-,-
13/01/2021 16:13:53,286,100,100,-,-
13/01/2021 16:13:56,286,100,100,-,-
13/01/2021 17:43:56,286,100,100,-,-
13/01/2021 17:43:59,286,100,100,-,-
13/01/2021 17:47:46,286,100,100,-,-
13/01/2021 17:47:50,286,100,100,-,-
13/01/2021 18:50:59,286,100,100,-,-
13/01/2021 18:51:02,286,100,100,-,-
13/01/2021 18:54:45,286,100,100,-,-
13/01/2021 18:54:48,286,100,100,-,-
13/01/2021 20:05:41,286,100,100,-,-
13/01/2021 20:05:45,286,100,100,-,-
13/01/2021 20:09:54,286,100,100,-,-
13/01/2021 20:09:58,286,100,100,-,-
13/01/2021 22:30:38,286,100,100,-,-
13/01/2021 22:30:42,286,100,100,-,-
13/01/2021 22:34:40,286,100,100,-,-
13/01/2021 22:34:43,286,100,100,-,-
14/01/2021 00:45:48,286,100,100,-,-
14/01/2021 00:45:52,286,100,100,-,-
14/01/2021 00:49:59,286,100,100,-,-
14/01/2021 00:50:03,286,100,100,-,-
14/01/2021 02:47:14,286,100,100,-,-
14/01/2021 02:47:17,286,100,100,-,-
14/01/2021 02:51:00,286,100,100,-,-
14/01/2021 02:51:04,286,100,100,-,-
14/01/2021 07:50:46,286,100,100,-,-
14/01/2021 07:50:49,286,100,100,-,-
14/01/2021 07:54:34,286,100,100,-,-
14/01/2021 07:54:37,286,100,100,-,-
14/01/2021 13:15:53,286,100,100,-,-
14/01/2021 13:15:56,286,100,100,-,-
14/01/2021 13:19:44,286,100,100,-,-
14/01/2021 13:19:48,286,100,100,-,-
14/01/2021 16:26:46,286,100,100,-,-
14/01/2021 16:26:49,286,100,100,-,-
14/01/2021 16:30:37,286,100,100,-,-
14/01/2021 16:30:40,286,100,100,-,-
14/01/2021 20:01:02,286,100,100,-,-
14/01/2021 20:01:05,286,100,100,-,-
14/01/2021 20:05:07,286,100,100,-,-
14/01/2021 20:05:11,286,100,100,-,-
14/01/2021 23:56:45,286,100,100,-,-
14/01/2021 23:56:49,286,100,100,-,-
15/01/2021 00:00:43,286,100,100,-,-
15/01/2021 00:00:47,286,100,100,-,-
15/01/2021 02:54:06,286,100,100,-,-
15/01/2021 02:58:01,286,100,100,-,-
15/01/2021 05:05:02,286,100,100,-,-
15/01/2021 05:08:51,286,100,100,-,-
16/01/2021 05:04:24,286,100,100,-,-
16/01/2021 05:08:04,286,100,100,-,-
16/01/2021 06:07:18,286,100,100,-,-
16/01/2021 06:10:56,286,100,100,-,-
16/01/2021 07:09:58,286,100,100,-,-
16/01/2021 07:13:38,286,100,100,-,-
16/01/2021 08:14:00,286,100,100,-,-
16/01/2021 08:17:40,286,100,100,-,-
16/01/2021 09:17:43,286,100,100,-,-
16/01/2021 09:21:22,286,100,100,-,-
16/01/2021 10:21:28,286,100,100,-,-
16/01/2021 10:25:10,286,100,100,-,-
16/01/2021 15:46:56,286,100,100,-,-
16/01/2021 15:50:35,286,100,100,-,-
16/01/2021 16:52:53,286,100,100,-,-
16/01/2021 16:56:34,286,100,100,-,-
16/01/2021 18:55:03,286,100,100,-,-
16/01/2021 18:58:59,286,100,100,-,-
16/01/2021 20:05:06,286,100,100,-,-
16/01/2021 20:09:05,286,100,100,-,-
16/01/2021 22:32:07,286,100,100,-,-
16/01/2021 22:36:06,286,100,100,-,-
16/01/2021 23:43:10,286,100,100,-,-
16/01/2021 23:47:05,286,100,100,-,-
