,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:28:01,-,7000,7000,-,-
11/01/2021 02:31:04,-,7000,7000,-,-
11/01/2021 14:59:34,-,7000,7000,-,-
11/01/2021 15:02:31,-,7000,7000,-,-
11/01/2021 17:59:14,-,7000,7000,-,-
11/01/2021 18:02:18,-,7000,7000,-,-
13/01/2021 13:52:07,0,7000,7000,-,-
13/01/2021 13:55:46,0,7000,7000,-,-
13/01/2021 15:05:57,0,7000,7000,-,-
13/01/2021 15:09:36,0,7000,7000,-,-
13/01/2021 16:09:32,0,7000,7000,-,-
13/01/2021 16:13:13,0,7000,7000,-,-
13/01/2021 17:43:15,0,7000,7000,-,-
13/01/2021 17:47:05,0,7000,7000,-,-
13/01/2021 18:50:18,0,7000,7000,-,-
13/01/2021 18:54:05,0,7000,7000,-,-
13/01/2021 20:04:51,0,7000,7000,-,-
13/01/2021 20:09:05,0,7000,7000,-,-
13/01/2021 22:29:49,0,7000,7000,-,-
13/01/2021 22:33:53,0,7000,7000,-,-
14/01/2021 00:45:06,0,7000,7000,-,-
14/01/2021 00:49:08,0,7000,7000,-,-
14/01/2021 02:46:29,0,7000,7000,-,-
14/01/2021 02:50:15,0,7000,7000,-,-
14/01/2021 07:50:00,0,7000,7000,-,-
14/01/2021 07:53:49,0,7000,7000,-,-
