,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:44,50,999,999,-,-
11/01/2021 02:30:47,50,999,999,-,-
11/01/2021 14:59:17,50,50,50,-,-
11/01/2021 15:02:13,50,50,50,-,-
11/01/2021 17:58:57,50,50,50,-,-
11/01/2021 18:02:00,50,50,50,-,-
13/01/2021 13:51:46,50,999,999,-,-
13/01/2021 13:55:24,50,999,999,-,-
13/01/2021 15:05:35,50,999,999,-,-
13/01/2021 15:09:15,50,999,999,-,-
13/01/2021 16:09:10,50,999,999,-,-
13/01/2021 16:12:51,50,999,999,-,-
13/01/2021 17:42:52,50,999,999,-,-
13/01/2021 17:46:41,50,999,999,-,-
13/01/2021 18:49:56,50,999,999,-,-
13/01/2021 18:53:43,50,999,999,-,-
13/01/2021 20:04:28,50,999,999,-,-
13/01/2021 20:08:42,50,999,999,-,-
13/01/2021 22:29:25,50,999,999,-,-
13/01/2021 22:33:29,50,999,999,-,-
14/01/2021 00:44:43,50,999,999,-,-
14/01/2021 00:48:45,50,999,999,-,-
14/01/2021 02:46:07,50,999,999,-,-
14/01/2021 02:49:54,50,999,999,-,-
14/01/2021 07:49:39,50,999,999,-,-
14/01/2021 07:53:27,50,999,999,-,-
