,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:26:55,49142,-,-,-,-
11/01/2021 02:29:58,49142,-,-,-,-
11/01/2021 14:58:28,49142,-,-,-,-
11/01/2021 15:01:23,49142,-,-,-,-
11/01/2021 17:58:08,49142,-,-,-,-
11/01/2021 18:01:11,49142,-,-,-,-
13/01/2021 13:50:48,48979,31997,31997,-,-
13/01/2021 13:54:27,48979,31997,31997,-,-
13/01/2021 15:04:37,48979,31997,31997,-,-
13/01/2021 15:08:17,48979,31997,31997,-,-
13/01/2021 16:08:12,48979,31997,31997,-,-
13/01/2021 16:11:53,48979,31997,31997,-,-
13/01/2021 17:41:52,48979,31997,31997,-,-
13/01/2021 17:45:41,48979,31997,31997,-,-
13/01/2021 18:48:58,48979,31997,31997,-,-
13/01/2021 18:52:43,48979,31997,31997,-,-
13/01/2021 20:03:25,48979,31997,31997,-,-
13/01/2021 20:07:39,48979,31997,31997,-,-
13/01/2021 22:28:23,48979,31997,31997,-,-
13/01/2021 22:32:26,48979,31997,31997,-,-
14/01/2021 00:47:41,48979,31997,31997,-,-
14/01/2021 02:45:10,48979,29999,29999,-,-
14/01/2021 02:48:57,48979,29999,29999,-,-
14/01/2021 07:48:41,48979,29999,29999,-,-
14/01/2021 07:52:30,48979,29999,29999,-,-
14/01/2021 13:13:47,48979,29999,29999,-,-
14/01/2021 13:17:38,48979,29999,29999,-,-
14/01/2021 16:24:33,48894,31997,31997,-,-
14/01/2021 16:28:31,48894,31997,31997,-,-
14/01/2021 19:58:43,48894,-,-,-,-
14/01/2021 20:02:53,48894,-,-,-,-
14/01/2021 23:54:36,48894,29999,29999,-,-
14/01/2021 23:58:36,48894,29999,29999,-,-
15/01/2021 02:52:03,48894,29999,29999,-,-
15/01/2021 02:55:51,48894,29999,29999,-,-
15/01/2021 05:02:58,48894,29999,29999,-,-
15/01/2021 05:06:47,48894,29999,29999,-,-
16/01/2021 05:02:20,48809,-,-,-,-
16/01/2021 05:06:02,48809,-,-,-,-
16/01/2021 06:05:17,48809,-,-,-,-
16/01/2021 06:08:55,48809,-,-,-,-
16/01/2021 07:07:57,48809,-,-,-,-
16/01/2021 07:11:36,48809,-,-,-,-
16/01/2021 08:11:58,48809,-,-,-,-
16/01/2021 08:15:39,48809,-,-,-,-
16/01/2021 09:15:40,48809,-,-,-,-
16/01/2021 09:19:21,48809,-,-,-,-
16/01/2021 10:19:26,48809,-,-,-,-
16/01/2021 10:23:06,48809,-,-,-,-
16/01/2021 15:44:56,48809,-,-,-,-
16/01/2021 15:48:34,48809,-,-,-,-
16/01/2021 16:50:52,48809,-,-,-,-
16/01/2021 16:54:32,48809,-,-,-,-
16/01/2021 18:52:54,48809,-,-,-,-
16/01/2021 18:56:48,48809,-,-,-,-
16/01/2021 20:02:53,48809,-,-,-,-
16/01/2021 20:06:52,48809,-,-,-,-
16/01/2021 22:29:52,48809,-,-,-,-
16/01/2021 22:33:55,48809,-,-,-,-
16/01/2021 23:41:00,48809,-,-,-,-
16/01/2021 23:44:54,48809,-,-,-,-
17/01/2021 01:32:43,48809,-,-,-,-
17/01/2021 01:36:29,48809,-,-,-,-
17/01/2021 02:27:00,48809,-,-,-,-
17/01/2021 02:30:35,48809,-,-,-,-
17/01/2021 03:19:52,48809,-,-,-,-
17/01/2021 03:23:23,48809,-,-,-,-
17/01/2021 04:12:32,48809,-,-,-,-
17/01/2021 04:16:14,48809,-,-,-,-
17/01/2021 05:07:02,48809,-,-,-,-
17/01/2021 05:10:35,48809,-,-,-,-
17/01/2021 05:59:03,48809,-,-,-,-
17/01/2021 06:02:33,48809,-,-,-,-
17/01/2021 06:51:00,48809,-,-,-,-
17/01/2021 06:54:31,48809,-,-,-,-
17/01/2021 07:43:12,48809,-,-,-,-
17/01/2021 07:46:42,48809,-,-,-,-
17/01/2021 09:28:05,48809,-,-,-,-
17/01/2021 09:31:37,48809,-,-,-,-
17/01/2021 10:22:07,48809,-,-,-,-
17/01/2021 10:25:45,48809,-,-,-,-
17/01/2021 12:37:25,48809,-,-,-,-
17/01/2021 12:40:59,48809,-,-,-,-
17/01/2021 13:30:50,48809,-,-,-,-
17/01/2021 13:34:37,48809,-,-,-,-
17/01/2021 14:24:21,48809,-,-,-,-
17/01/2021 14:28:05,48809,-,-,-,-
17/01/2021 15:18:08,48809,-,-,-,-
17/01/2021 15:21:55,48809,-,-,-,-
17/01/2021 16:12:27,48809,-,-,-,-
17/01/2021 16:16:20,48809,-,-,-,-
18/01/2021 14:41:55,48734,31993,31993,-,-
18/01/2021 15:12:53,48734,31993,31993,-,-
18/01/2021 15:40:46,48734,31993,31993,-,-
18/01/2021 16:20:48,48734,31993,31993,-,-
18/01/2021 16:50:27,48734,31993,31993,-,-
18/01/2021 16:54:22,48734,31993,31993,-,-
18/01/2021 17:22:23,48734,31993,31993,-,-
18/01/2021 18:24:53,48734,31993,31993,-,-
18/01/2021 18:28:12,48734,31993,31993,-,-
