,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:26:53,9061,900,900,-,-
11/01/2021 02:29:55,9061,900,900,-,-
11/01/2021 14:58:26,9061,900,900,-,-
11/01/2021 15:01:21,9061,900,900,-,-
11/01/2021 17:58:05,9061,900,900,-,-
11/01/2021 18:01:09,9061,900,900,-,-
13/01/2021 13:50:45,8992,8900,8900,-,-
13/01/2021 13:54:24,8992,8900,8900,-,-
13/01/2021 15:04:34,8992,8900,8900,-,-
13/01/2021 15:08:14,8992,8900,8900,-,-
13/01/2021 16:08:08,8992,8900,8900,-,-
13/01/2021 16:11:50,8992,8900,8900,-,-
13/01/2021 17:41:48,8992,8900,8900,-,-
13/01/2021 17:45:38,8992,8900,8900,-,-
13/01/2021 18:48:54,8992,8900,8900,-,-
13/01/2021 18:52:40,8992,8900,8900,-,-
13/01/2021 20:03:22,8992,8900,8900,-,-
13/01/2021 20:07:35,8992,8900,8900,-,-
13/01/2021 22:28:19,8992,8900,8900,-,-
13/01/2021 22:32:22,8992,8900,8900,-,-
14/01/2021 00:47:37,8992,8900,8900,-,-
14/01/2021 02:45:06,8992,8900,8900,-,-
14/01/2021 02:48:53,8992,8900,8900,-,-
14/01/2021 07:48:38,8992,8900,8900,-,-
14/01/2021 07:52:26,8992,8900,8900,-,-
14/01/2021 13:13:43,8992,8899,8899,-,-
14/01/2021 13:17:34,8992,8899,8899,-,-
14/01/2021 16:24:29,8992,8899,8899,-,-
14/01/2021 16:28:27,8992,8899,8899,-,-
14/01/2021 19:58:40,8992,8899,8899,-,-
14/01/2021 20:02:49,8992,8899,8899,-,-
14/01/2021 23:54:33,8992,8899,8899,-,-
14/01/2021 23:58:33,8992,8899,8899,-,-
15/01/2021 02:51:59,8992,8899,8899,-,-
15/01/2021 02:55:48,8992,8899,8899,-,-
15/01/2021 05:02:55,8992,8899,8899,-,-
15/01/2021 05:06:43,8992,8899,8899,-,-
16/01/2021 05:02:17,8991,8899,8899,-,-
16/01/2021 05:05:59,8991,8899,8899,-,-
16/01/2021 06:05:13,8991,8899,8899,-,-
16/01/2021 06:08:52,8991,8899,8899,-,-
16/01/2021 07:07:54,8991,8899,8899,-,-
16/01/2021 07:11:33,8991,8899,8899,-,-
16/01/2021 08:11:55,8991,8899,8899,-,-
16/01/2021 08:15:35,8991,8899,8899,-,-
16/01/2021 09:15:37,8991,8899,8899,-,-
16/01/2021 09:19:17,8991,8899,8899,-,-
16/01/2021 10:19:23,8991,8899,8899,-,-
16/01/2021 10:23:02,8991,8899,8899,-,-
16/01/2021 15:44:52,8991,8899,8899,-,-
16/01/2021 15:48:30,8991,8899,8899,-,-
16/01/2021 16:50:47,8991,8899,8899,-,-
16/01/2021 16:54:28,8991,8899,8899,-,-
16/01/2021 18:52:50,8991,8899,8899,-,-
16/01/2021 18:56:44,8991,8899,8899,-,-
16/01/2021 20:02:48,8991,8899,8899,-,-
16/01/2021 20:06:47,8991,8899,8899,-,-
16/01/2021 22:29:48,8991,8899,8899,-,-
16/01/2021 22:33:50,8991,8899,8899,-,-
16/01/2021 23:40:55,8991,8899,8899,-,-
16/01/2021 23:44:49,8991,8899,8899,-,-
