,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:30,4985,2999,2999,-,-
11/01/2021 02:30:32,4985,2999,2999,-,-
11/01/2021 14:59:03,4985,2999,2999,-,-
11/01/2021 15:01:58,4985,2999,2999,-,-
11/01/2021 17:58:42,4985,2999,2999,-,-
11/01/2021 18:01:46,4985,2999,2999,-,-
13/01/2021 13:51:28,4985,-,-,-,-
13/01/2021 13:55:07,4985,-,-,-,-
13/01/2021 15:05:17,4985,-,-,-,-
13/01/2021 15:08:57,4985,-,-,-,-
13/01/2021 16:08:52,4985,-,-,-,-
13/01/2021 16:12:33,4985,-,-,-,-
13/01/2021 17:42:33,4985,-,-,-,-
13/01/2021 17:46:23,4985,-,-,-,-
13/01/2021 18:49:38,4985,-,-,-,-
13/01/2021 18:53:24,4985,-,-,-,-
13/01/2021 20:04:08,4985,-,-,-,-
13/01/2021 20:08:22,4985,-,-,-,-
13/01/2021 22:29:06,4985,-,-,-,-
13/01/2021 22:33:08,4985,-,-,-,-
14/01/2021 00:44:22,4985,-,-,-,-
14/01/2021 00:48:25,4985,-,-,-,-
14/01/2021 02:45:49,4985,-,-,-,-
14/01/2021 02:49:36,4985,-,-,-,-
14/01/2021 07:49:20,4985,-,-,-,-
14/01/2021 07:53:09,4985,-,-,-,-
14/01/2021 13:14:27,4985,2999,2999,-,-
14/01/2021 13:18:18,4985,2999,2999,-,-
14/01/2021 16:25:14,4985,2999,2999,-,-
14/01/2021 16:29:11,4985,2999,2999,-,-
14/01/2021 19:59:26,4985,2999,2999,-,-
14/01/2021 20:03:35,4985,2999,2999,-,-
14/01/2021 23:55:16,4985,2999,2999,-,-
14/01/2021 23:59:17,4985,2999,2999,-,-
15/01/2021 02:52:43,4985,2999,2999,-,-
15/01/2021 02:56:34,4985,2999,2999,-,-
15/01/2021 05:03:40,4985,2999,2999,-,-
15/01/2021 05:07:27,4985,2999,2999,-,-
16/01/2021 05:03:01,4985,2999,2999,-,-
16/01/2021 05:06:41,4985,2999,2999,-,-
16/01/2021 06:05:56,4985,2999,2999,-,-
16/01/2021 06:09:33,4985,2999,2999,-,-
16/01/2021 07:08:36,4985,2999,2999,-,-
16/01/2021 07:12:15,4985,2999,2999,-,-
16/01/2021 08:12:37,4985,2999,2999,-,-
16/01/2021 08:16:17,4985,2999,2999,-,-
16/01/2021 09:16:20,4985,2999,2999,-,-
16/01/2021 09:19:59,4985,2999,2999,-,-
16/01/2021 10:20:05,4985,2999,2999,-,-
16/01/2021 10:23:46,4985,2999,2999,-,-
16/01/2021 15:45:36,4985,2999,2999,-,-
16/01/2021 15:49:15,4985,2999,2999,-,-
16/01/2021 16:51:32,4985,2999,2999,-,-
16/01/2021 16:55:13,4985,2999,2999,-,-
