,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:27,122,100,100,-,12000
11/01/2021 02:30:30,122,100,100,-,12000
11/01/2021 14:59:00,122,99,99,-,12000
11/01/2021 15:01:55,122,99,99,-,12000
11/01/2021 17:58:40,122,99,99,-,12000
11/01/2021 18:01:43,122,99,99,-,12000
13/01/2021 13:51:24,122,100,100,-,12000
13/01/2021 13:55:03,122,100,100,-,12000
13/01/2021 15:05:13,122,100,100,-,12000
13/01/2021 15:08:53,122,100,100,-,12000
13/01/2021 16:08:48,122,100,100,-,12000
13/01/2021 16:12:29,122,100,100,-,12000
13/01/2021 17:42:29,122,100,100,-,12000
13/01/2021 17:46:19,122,100,100,-,12000
13/01/2021 18:49:34,122,100,100,-,12000
13/01/2021 18:53:20,122,100,100,-,12000
13/01/2021 20:04:05,122,100,100,-,12000
13/01/2021 20:08:18,122,100,100,-,12000
13/01/2021 22:29:02,122,100,100,-,12000
13/01/2021 22:33:05,122,100,100,-,12000
14/01/2021 00:48:21,122,100,100,-,12000
14/01/2021 02:45:46,122,99,99,-,12000
14/01/2021 02:49:33,122,99,99,-,12000
14/01/2021 07:49:17,122,99,99,-,12000
14/01/2021 07:53:06,122,99,99,-,12000
