,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:16,198,146998,146998,-,-
11/01/2021 02:30:18,198,146998,146998,-,-
11/01/2021 14:58:49,198,146998,146998,-,-
11/01/2021 15:01:44,198,146998,146998,-,-
11/01/2021 17:58:28,198,146998,146998,-,-
11/01/2021 18:01:31,198,146998,146998,-,-
13/01/2021 13:51:10,198,60000,60000,-,-
13/01/2021 13:54:49,198,60000,60000,-,-
13/01/2021 15:04:59,198,60000,60000,-,-
13/01/2021 15:08:39,198,60000,60000,-,-
13/01/2021 16:08:33,198,60000,60000,-,-
13/01/2021 16:12:15,198,60000,60000,-,-
13/01/2021 17:42:14,198,60000,60000,-,-
13/01/2021 17:46:04,198,60000,60000,-,-
13/01/2021 18:49:20,198,60000,60000,-,-
13/01/2021 18:53:06,198,60000,60000,-,-
13/01/2021 20:03:49,198,60000,60000,-,-
13/01/2021 20:08:02,198,60000,60000,-,-
13/01/2021 22:28:46,198,60000,60000,-,-
13/01/2021 22:32:50,198,60000,60000,-,-
14/01/2021 00:48:05,198,59999,59999,-,-
14/01/2021 02:45:31,198,59999,59999,-,-
14/01/2021 02:49:18,198,59999,59999,-,-
14/01/2021 07:49:03,198,59999,59999,-,-
14/01/2021 07:52:51,198,59999,59999,-,-
