,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:56:22,617847,650000,650000,1,,,,
11/01/2021 14:28:41,617991,999999,2999999,11,1299999,1099999,354000000000,594978
11/01/2021 17:28:14,619704,999999,2999999,8,1337499,1049999,479821428571,692691
17/01/2021 01:57:38,673322,200000,2999999,11,1029363,450000,979393706291,989643
17/01/2021 10:01:47,674742,200000,2999999,11,1048454,450000,981749532109,990832
17/01/2021 11:46:06,674742,200000,2999999,11,1048454,450000,981749532109,990832
17/01/2021 13:20:32,674742,200000,2999999,11,1048454,450000,981749532109,990832
17/01/2021 15:03:03,674742,200000,2999999,11,1048454,450000,981749532109,990832
18/01/2021 14:56:54,673315,200000,2999999,11,1045727,450000,985842076472,992895
18/01/2021 17:26:17,671865,200000,2999999,11,1104818,1000000,933806645563,966336
