,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:38,187,79,900,2000,7998
11/01/2021 02:44:14,187,79,900,2000,7998
11/01/2021 15:06:03,205,79,800,1950,7998
11/01/2021 15:15:29,205,79,800,1950,7998
11/01/2021 18:06:02,205,79,800,1950,7998
11/01/2021 18:15:33,205,79,800,1950,7998
13/01/2021 14:00:16,197,69,800,1600,6999
13/01/2021 14:12:06,197,69,800,1600,6999
13/01/2021 15:14:04,196,69,800,2000,6999
13/01/2021 16:17:44,196,69,800,2000,6999
13/01/2021 16:29:57,196,69,800,2000,6999
13/01/2021 17:51:48,206,69,1500,2000,6999
13/01/2021 18:04:29,206,69,1500,2000,6999
13/01/2021 18:58:36,206,69,1500,1999,6999
13/01/2021 19:10:57,206,69,1500,1999,6999
13/01/2021 20:14:00,223,69,1500,1999,6999
13/01/2021 20:24:52,223,69,1500,1999,6999
13/01/2021 22:38:51,226,69,1500,2000,6999
13/01/2021 22:48:03,226,69,1500,2000,6999
14/01/2021 00:54:06,235,69,1500,2000,6900
14/01/2021 01:06:54,235,69,1500,2000,6900
14/01/2021 02:54:42,241,69,1500,2000,6900
14/01/2021 03:06:32,241,69,1500,2000,6900
14/01/2021 07:58:21,241,68,1500,2000,6899
14/01/2021 08:10:08,241,68,1500,2000,6899
14/01/2021 13:23:37,262,68,1999,2000,6899
14/01/2021 13:35:20,262,68,1999,2000,6899
14/01/2021 16:34:39,262,68,1999,2000,6899
14/01/2021 16:40:59,270,68,1999,2000,6899
14/01/2021 20:09:12,269,68,899,2000,6899
14/01/2021 20:21:37,269,68,899,2000,6899
15/01/2021 00:04:43,284,60,1999,1999,6000
15/01/2021 00:17:10,214,68,1499,1999,6899
15/01/2021 03:02:00,214,68,1499,1999,6899
15/01/2021 03:14:40,214,68,1499,1999,6899
15/01/2021 05:12:49,214,68,1499,1999,6899
15/01/2021 05:25:02,214,68,1499,1999,6899
16/01/2021 05:11:56,251,68,1499,1999,6890
16/01/2021 05:23:50,251,68,1499,1999,6890
16/01/2021 06:14:45,251,68,1499,1999,6890
16/01/2021 06:26:34,248,68,1499,2000,6890
16/01/2021 07:17:26,248,68,1499,2000,6890
16/01/2021 07:29:38,248,68,1499,2000,6890
16/01/2021 08:21:29,248,68,1499,2000,6890
16/01/2021 08:33:17,248,68,1499,2000,6890
16/01/2021 09:25:12,248,68,1499,2000,6890
16/01/2021 09:36:58,248,68,1499,2000,6890
16/01/2021 10:29:01,252,68,1499,-,6890
16/01/2021 10:41:13,252,68,1499,-,6890
16/01/2021 15:54:37,257,60,1499,-,6000
16/01/2021 16:07:14,274,60,1499,-,6000
16/01/2021 17:00:37,290,60,1499,-,6000
16/01/2021 17:13:09,290,60,1499,-,6000
16/01/2021 19:03:13,307,60,-,-,6000
16/01/2021 19:15:57,307,60,-,-,6000
16/01/2021 20:13:24,312,59,-,-,5999
16/01/2021 20:26:25,312,59,-,-,5999
16/01/2021 22:40:28,239,60,100,-,6000
16/01/2021 22:53:57,239,60,100,-,6000
16/01/2021 23:51:22,238,60,100,-,6000
17/01/2021 00:04:16,238,60,100,-,6000
