,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:54:05,264,500,500,1,,,,
11/01/2021 13:28:03,264,466,466,1,,,,
11/01/2021 16:27:28,264,466,466,1,,,,
13/01/2021 00:21:33,264,99,99,1,,,,
13/01/2021 00:50:44,264,99,99,1,,,,
13/01/2021 01:42:26,264,99,99,1,,,,
13/01/2021 20:35:01,264,99,99,1,,,,
13/01/2021 22:56:21,263,99,99,1,,,,
14/01/2021 01:16:57,263,99,99,1,,,,
14/01/2021 03:16:06,263,99,99,1,,,,
14/01/2021 08:19:36,263,99,99,1,,,,
14/01/2021 13:44:31,263,99,99,1,,,,
14/01/2021 20:32:01,263,99,99,1,,,,
15/01/2021 00:27:18,263,99,99,1,,,,
15/01/2021 05:34:55,263,99,99,1,,,,
