,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:12,564152,1499996,1499996,-,-
11/01/2021 02:43:45,564152,1499996,1499996,-,-
11/01/2021 15:05:23,564152,1499996,1499996,-,-
11/01/2021 15:14:49,564152,1499996,1499996,-,-
11/01/2021 18:05:22,564152,1499996,1499996,-,-
11/01/2021 18:14:53,564152,1499996,1499996,-,-
13/01/2021 13:59:29,568349,1499996,1499996,-,-
13/01/2021 14:11:18,568349,1499996,1499996,-,-
13/01/2021 15:13:15,568349,1499996,1499996,-,-
13/01/2021 16:16:56,568349,1499996,1499996,-,-
13/01/2021 16:29:10,568349,1499996,1499996,-,-
13/01/2021 17:50:57,568349,1499996,1499996,-,-
13/01/2021 18:03:39,568349,1499996,1499996,-,-
13/01/2021 18:57:52,568349,1400000,1400000,-,-
13/01/2021 19:10:11,568349,1400000,1400000,-,-
13/01/2021 20:13:12,568349,1400000,1400000,-,-
13/01/2021 22:37:59,568349,1399999,1399999,-,-
13/01/2021 22:47:11,568349,1399999,1399999,-,-
14/01/2021 00:53:12,572078,1400000,1400000,-,-
14/01/2021 01:06:06,572078,1400000,1400000,-,-
14/01/2021 02:53:56,572078,1400000,1400000,-,-
14/01/2021 03:05:46,572078,1400000,1400000,-,-
14/01/2021 07:57:30,572078,1400000,1400000,-,-
14/01/2021 08:09:18,572078,1400000,1400000,-,-
14/01/2021 13:22:50,572078,1400000,1400000,-,-
14/01/2021 13:34:34,572078,1400000,1400000,-,-
14/01/2021 16:33:47,572078,1400000,1400000,-,-
14/01/2021 16:40:06,572078,1400000,1400000,-,-
14/01/2021 20:08:21,572078,1400000,1400000,-,-
14/01/2021 20:20:47,572078,1400000,1400000,-,-
15/01/2021 00:03:52,572078,1400000,1400000,-,-
15/01/2021 00:16:20,572078,1400000,1400000,-,-
15/01/2021 03:01:10,572078,1400000,1400000,-,-
15/01/2021 03:13:52,572078,1400000,1400000,-,-
15/01/2021 05:11:56,572078,1400000,1400000,-,-
15/01/2021 05:24:14,572078,1400000,1400000,-,-
16/01/2021 05:11:05,572078,1000000,1000000,-,-
16/01/2021 05:23:00,572078,1000000,1000000,-,-
16/01/2021 06:13:56,572078,1000000,1000000,-,-
16/01/2021 06:25:45,572078,1000000,1000000,-,-
16/01/2021 07:16:38,572078,1000000,1000000,-,-
16/01/2021 07:28:47,572078,1000000,1000000,-,-
16/01/2021 08:20:40,572078,1000000,1000000,-,-
16/01/2021 08:32:28,572078,1000000,1000000,-,-
16/01/2021 09:24:23,572078,1000000,1000000,-,-
16/01/2021 09:36:09,572078,1000000,1000000,-,-
16/01/2021 10:28:12,573997,1400000,1400000,-,-
16/01/2021 10:40:22,573997,1400000,1400000,-,-
16/01/2021 15:53:44,573997,1400000,1400000,-,-
16/01/2021 16:06:22,573997,1400000,1400000,-,-
16/01/2021 16:59:45,573997,1400000,1400000,-,-
16/01/2021 17:12:17,573997,1400000,1400000,-,-
16/01/2021 19:02:19,573997,1400000,1400000,-,-
16/01/2021 19:15:02,573997,1400000,1400000,-,-
16/01/2021 20:12:28,573997,1400000,1400000,-,-
16/01/2021 20:25:28,573997,1400000,1400000,-,-
16/01/2021 22:39:31,573997,1400000,1400000,-,-
16/01/2021 22:53:01,573997,1400000,1400000,-,-
16/01/2021 23:50:26,573997,1400000,1400000,-,-
17/01/2021 00:03:22,573997,1400000,1400000,-,-
