,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:57:43,604,380,380,5999,60998
11/01/2021 15:27:21,604,100,100,5000,60000
11/01/2021 18:27:28,604,100,100,5000,60000
14/01/2021 01:50:32,597,500,500,7992,60999
14/01/2021 06:42:34,596,499,499,5999,60999
14/01/2021 06:54:10,596,499,499,5999,60999
14/01/2021 12:20:05,596,429,429,5997,60999
14/01/2021 14:22:01,600,429,429,5997,61000
14/01/2021 15:28:52,600,400,400,5997,61000
14/01/2021 19:02:40,592,500,500,5999,61000
14/01/2021 22:44:18,592,500,500,5999,61000
14/01/2021 22:57:33,592,500,500,5999,61000
15/01/2021 01:55:13,592,500,500,5996,61000
15/01/2021 03:43:46,592,500,500,5996,61000
15/01/2021 04:05:33,592,500,500,5996,61000
15/01/2021 10:57:15,593,500,500,5995,61000
