,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
17/01/2021 01:10:26,142073,300000,300000,1,,,,
17/01/2021 05:21:05,142073,300000,300000,1,,,,
17/01/2021 09:08:19,142073,300000,300000,1,,,,
17/01/2021 10:53:20,142073,300000,300000,1,,,,
17/01/2021 12:29:51,142073,300000,300000,1,,,,
17/01/2021 14:10:10,142073,300000,300000,1,,,,
17/01/2021 15:38:55,142073,300000,300000,1,,,,
17/01/2021 17:25:40,142073,300000,300000,1,,,,
17/01/2021 17:58:01,142073,300000,300000,1,,,,
18/01/2021 14:03:56,142073,300000,300000,1,,,,
18/01/2021 16:34:57,142073,300000,300000,1,,,,
18/01/2021 18:18:42,142073,300000,300000,1,,,,
