,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:06:33,57604,15000,43000,8,18500,15000,98000000,9899
11/01/2021 13:40:36,57604,15000,43000,8,18500,15000,98000000,9899
11/01/2021 16:39:55,57604,15000,43000,8,18500,15000,98000000,9899
13/01/2021 00:38:01,57604,15000,43000,8,18500,15000,98000000,9899
13/01/2021 01:07:30,57604,15000,43000,8,18500,15000,98000000,9899
13/01/2021 01:59:20,57604,15000,43000,8,18500,15000,98000000,9899
13/01/2021 20:52:02,57447,15000,15000,4,15000,15000,0,0
13/01/2021 23:13:42,57447,15000,15000,4,15000,15000,0,0
14/01/2021 01:33:42,57234,15000,15000,4,15000,15000,0,0
14/01/2021 03:32:11,57234,15000,15000,4,15000,15000,0,0
14/01/2021 08:35:57,57234,15000,15000,4,15000,15000,0,0
14/01/2021 13:59:51,57234,15000,15000,4,15000,15000,0,0
14/01/2021 20:48:32,57234,15000,15000,4,15000,15000,0,0
15/01/2021 00:42:47,57234,15000,15000,4,15000,15000,0,0
15/01/2021 05:50:41,57234,15000,15000,4,15000,15000,0,0
17/01/2021 02:22:20,57045,15000,15000,3,15000,15000,0,0
17/01/2021 06:41:17,57045,15000,15000,3,15000,15000,0,0
17/01/2021 10:25:34,57045,15000,15000,3,15000,15000,0,0
17/01/2021 13:44:09,57045,15000,16000,4,15250,15000,250000,500
17/01/2021 16:58:03,57045,15000,16000,4,15250,15000,250000,500
18/01/2021 17:48:26,57045,15000,16000,4,15250,15000,250000,500
