,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 00:54:51,4997,3999,5000,4,4249,3999,250500,500
11/01/2021 13:28:50,4997,3999,5000,4,4249,3999,250500,500
11/01/2021 16:28:16,4997,3999,5000,4,4249,3999,250500,500
13/01/2021 00:22:46,4997,5000,5000,1,,,,
13/01/2021 00:51:57,4997,5000,5000,1,,,,
13/01/2021 01:43:41,4997,5000,5000,1,,,,
13/01/2021 20:36:11,4997,5000,5000,1,,,,
13/01/2021 22:57:26,4997,5000,5000,1,,,,
14/01/2021 01:17:57,4997,5000,5000,1,,,,
14/01/2021 03:17:10,4997,5000,5000,1,,,,
14/01/2021 08:20:39,4997,5000,5000,1,,,,
14/01/2021 13:45:30,4997,5000,5000,1,,,,
14/01/2021 20:33:08,4997,5000,5000,1,,,,
15/01/2021 00:28:19,4997,5000,5000,1,,,,
15/01/2021 05:35:56,4997,5000,5000,1,,,,
