,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:30,173,179,-,1850,17994
11/01/2021 14:41:52,164,79,-,-,7999
11/01/2021 17:41:38,164,149,-,-,14997
13/01/2021 12:07:18,147,120,-,1200,15774
13/01/2021 12:54:46,150,120,-,1200,15774
13/01/2021 13:33:02,150,120,-,1200,15773
13/01/2021 14:43:37,157,120,-,1200,15900
13/01/2021 15:47:02,267,120,-,1200,26899
13/01/2021 17:19:42,263,120,-,1200,28600
13/01/2021 18:27:05,268,254,-,-,25499
13/01/2021 19:41:09,268,198,-,2500,19800
13/01/2021 22:05:27,215,99,-,-,9990
14/01/2021 00:22:40,112,94,110,2450,9400
14/01/2021 02:23:56,139,110,110,2450,13889
14/01/2021 07:27:34,166,110,110,2449,24998
