,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:28,69,74,-,-,7444
11/01/2021 14:41:49,69,55,-,998,5500
11/01/2021 17:41:35,63,49,-,998,4900
13/01/2021 12:07:22,34,34,-,499,3498
13/01/2021 12:54:49,34,34,-,400,3497
13/01/2021 13:33:06,34,34,-,400,3497
13/01/2021 14:43:41,34,34,-,400,3450
13/01/2021 15:47:06,39,39,-,400,3989
13/01/2021 17:19:46,39,39,-,400,3997
13/01/2021 18:27:08,41,39,-,500,3998
13/01/2021 19:41:13,41,39,-,500,3994
13/01/2021 22:05:31,45,19,-,500,1999
14/01/2021 00:22:43,45,19,44,500,1994
14/01/2021 02:24:00,37,18,44,500,1889
14/01/2021 07:27:38,49,43,43,500,5997
