,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:44,2069,1890,10500,20000,189000
11/01/2021 14:42:06,2291,1890,-,-,189000
11/01/2021 17:41:52,2200,1890,-,-,189000
13/01/2021 12:07:37,1832,1499,1999,14998,-
13/01/2021 12:55:05,1832,1499,1999,14998,-
13/01/2021 13:33:21,1832,1499,1999,14998,-
13/01/2021 14:43:56,1832,1499,1999,14998,-
13/01/2021 15:47:20,1832,1499,1999,14998,-
13/01/2021 17:20:01,1779,1499,1999,14999,-
13/01/2021 18:27:23,1755,1500,1500,24999,-
13/01/2021 19:41:28,1755,1500,1500,24999,-
14/01/2021 00:22:58,1998,1999,3000,29999,199999
14/01/2021 02:24:15,2041,1999,3000,29998,199999
14/01/2021 07:27:53,2041,1999,3000,29998,199999
14/01/2021 12:53:02,2028,2999,3000,29998,-
14/01/2021 16:02:47,2028,2199,3000,21999,-
14/01/2021 19:37:03,2049,2000,3000,29998,200000
14/01/2021 23:32:49,2174,2000,2999,29998,200000
15/01/2021 02:30:31,2210,2000,2999,29998,200000
15/01/2021 04:41:15,2213,2000,2999,29997,200000
16/01/2021 04:41:43,2226,1999,1999,20999,200000
16/01/2021 05:44:38,2226,1999,1999,20999,200000
16/01/2021 06:47:25,2226,1999,1999,20999,200000
16/01/2021 07:50:40,2226,1999,1999,20999,200000
16/01/2021 08:54:47,2226,1999,1999,20999,200000
16/01/2021 09:57:58,2226,1999,1999,20998,200000
16/01/2021 11:02:31,2226,1999,1999,20998,200000
16/01/2021 15:22:37,2226,1500,1999,20000,150000
16/01/2021 16:29:07,2226,1500,1999,20000,150000
16/01/2021 18:30:29,2226,1500,1999,19000,150000
16/01/2021 19:39:29,2226,1500,1999,19000,150000
16/01/2021 20:49:50,2226,1500,1999,19000,150000
16/01/2021 22:06:25,2221,1450,3000,19000,145000
16/01/2021 23:17:52,2221,1450,2000,19999,145000
