,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:15,983,190,-,1900,19000
11/01/2021 02:45:51,983,190,-,1900,19000
11/01/2021 15:07:39,983,190,-,1900,19000
11/01/2021 15:17:04,983,190,-,1900,19000
11/01/2021 18:07:34,983,190,-,1900,19000
11/01/2021 18:17:05,983,190,-,1900,19000
13/01/2021 14:02:24,983,190,-,1900,19000
13/01/2021 14:14:14,983,190,-,1900,19000
13/01/2021 15:16:15,983,190,-,1900,19000
13/01/2021 16:19:53,983,190,-,1900,19000
13/01/2021 16:32:03,983,190,-,1900,19000
13/01/2021 17:54:03,983,190,-,1900,19000
13/01/2021 18:06:41,983,190,-,1900,19000
13/01/2021 19:00:50,983,190,-,1900,19000
13/01/2021 19:13:11,983,190,-,1900,19000
13/01/2021 20:16:21,983,190,-,1900,19000
13/01/2021 20:27:04,983,190,-,1900,19000
13/01/2021 22:41:14,983,190,-,1900,19000
13/01/2021 22:50:25,983,190,-,1900,19000
14/01/2021 00:56:30,983,190,-,1900,19000
14/01/2021 01:09:05,983,190,-,1900,19000
14/01/2021 02:56:47,983,190,-,1900,19000
14/01/2021 03:08:35,983,190,-,1900,19000
14/01/2021 08:00:20,983,190,-,1900,19000
14/01/2021 08:12:08,983,190,-,1900,19000
14/01/2021 13:25:40,983,190,-,1900,19000
14/01/2021 13:37:18,983,190,-,1900,19000
14/01/2021 16:36:40,983,190,-,1900,19000
14/01/2021 16:43:05,983,190,-,1900,19000
14/01/2021 20:11:14,983,189,-,1900,18999
14/01/2021 20:23:45,983,189,-,1900,18999
15/01/2021 00:06:52,983,189,-,1900,18999
15/01/2021 00:19:18,983,189,-,1900,18999
15/01/2021 03:04:14,983,189,-,1900,18999
15/01/2021 03:16:51,983,189,-,1900,18999
15/01/2021 05:14:57,983,189,-,1900,18999
15/01/2021 05:27:09,983,189,-,1900,18999
16/01/2021 05:14:02,949,189,-,-,18998
16/01/2021 05:25:53,949,189,-,-,18998
16/01/2021 06:16:48,949,189,-,-,18998
16/01/2021 06:28:34,949,189,-,-,18998
16/01/2021 07:19:29,949,189,-,-,18998
16/01/2021 07:31:45,949,189,-,-,18998
16/01/2021 08:23:30,949,189,-,-,18998
16/01/2021 08:35:19,949,189,-,-,18998
16/01/2021 09:27:13,949,189,-,-,18998
16/01/2021 09:38:59,949,189,-,-,18998
16/01/2021 10:31:02,949,189,-,-,18998
16/01/2021 10:43:16,949,189,-,-,18998
16/01/2021 15:56:49,949,189,-,-,18998
16/01/2021 16:09:21,949,189,-,-,18998
16/01/2021 17:02:47,949,189,-,-,18998
16/01/2021 17:15:19,949,189,-,-,18998
