,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:41:01,6124,4000,5850,40000,550000
11/01/2021 02:50:38,6124,4000,5850,40000,550000
11/01/2021 15:12:18,5941,3999,5999,39999,550000
11/01/2021 15:21:45,5859,4000,5999,40000,550000
11/01/2021 18:12:22,5781,3999,5999,39999,550000
11/01/2021 18:21:49,5781,3999,5999,39999,550000
13/01/2021 14:08:34,5649,5500,-,68000,550000
13/01/2021 14:20:22,5649,5500,-,68000,550000
13/01/2021 15:22:26,5649,5500,7998,68000,550000
13/01/2021 16:25:59,5649,5500,7998,68000,550000
13/01/2021 16:38:10,5649,5500,7998,68000,550000
13/01/2021 18:00:21,5670,5500,7998,68000,550000
13/01/2021 18:12:57,5670,5500,7998,68000,550000
13/01/2021 19:07:06,5670,5500,7998,68000,550000
13/01/2021 19:19:26,5670,5500,7998,68000,550000
13/01/2021 20:22:51,5670,5500,7998,67000,550000
13/01/2021 20:33:22,5670,5500,7998,67000,550000
14/01/2021 01:02:58,5714,5500,7998,66999,550000
14/01/2021 01:15:26,5714,5500,7998,66999,550000
14/01/2021 03:02:48,5714,5500,7998,66999,550000
14/01/2021 03:14:30,5714,5500,7900,66999,550000
14/01/2021 08:06:20,5714,5500,7900,66999,550000
14/01/2021 08:18:09,5714,5500,7900,66999,550000
