,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:05:41,3845,2500,2500,42000,399900
11/01/2021 14:37:11,3845,2500,2500,-,399900
11/01/2021 17:36:55,3845,2500,2500,-,399900
13/01/2021 12:01:21,3841,3600,3790,36000,380000
13/01/2021 12:48:48,3841,3600,3790,36000,380000
13/01/2021 13:27:01,3841,3790,3790,-,380000
13/01/2021 14:37:53,3841,3790,3790,-,380000
13/01/2021 15:41:13,3841,3600,3790,36000,380000
13/01/2021 17:13:51,3841,3790,3790,-,380000
13/01/2021 18:21:06,3841,3600,3790,36000,380000
13/01/2021 19:34:57,3841,3600,3790,36000,380000
13/01/2021 22:00:19,3841,3600,3790,36000,380000
13/01/2021 22:00:23,3841,3600,3790,36000,380000
13/01/2021 22:01:17,3841,3600,3790,36000,380000
14/01/2021 00:17:12,3841,3600,3790,36000,380000
14/01/2021 02:18:08,3841,3600,3790,36000,380000
14/01/2021 07:21:45,3841,3600,3790,36000,380000
14/01/2021 12:46:51,3841,3600,3790,36000,380000
14/01/2021 15:56:36,3840,3600,3800,36000,380000
14/01/2021 19:30:40,3840,3600,3800,36000,380000
14/01/2021 23:26:22,3840,3600,3800,36000,380000
15/01/2021 02:24:10,3840,3600,3800,36000,380000
15/01/2021 04:34:46,3840,3600,3800,36000,380000
16/01/2021 04:35:15,3840,3600,3800,36000,380000
16/01/2021 05:38:26,3840,3600,3800,36000,380000
16/01/2021 06:41:12,3840,3600,3800,36000,380000
16/01/2021 07:44:27,3840,3600,3800,36000,380000
16/01/2021 08:48:21,3840,3600,3800,36000,380000
16/01/2021 09:51:41,3840,3600,3800,36000,380000
16/01/2021 10:56:05,3840,3600,3800,36000,380000
16/01/2021 15:15:50,3840,3600,3800,36000,380000
16/01/2021 16:22:30,3840,3600,3800,36000,380000
