,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:21,-,2500,2500,-,-
11/01/2021 02:45:57,-,2500,2500,-,-
11/01/2021 15:07:45,-,2500,2500,-,-
11/01/2021 15:17:10,-,2500,2500,-,-
11/01/2021 18:07:40,-,2500,2500,-,-
11/01/2021 18:17:11,-,2500,2500,-,-
13/01/2021 14:02:35,0,2500,2500,-,-
13/01/2021 14:14:25,0,2500,2500,-,-
13/01/2021 15:16:26,0,2500,2500,-,-
13/01/2021 16:20:04,0,2500,2500,-,-
13/01/2021 16:32:14,0,2500,2500,-,-
13/01/2021 17:54:14,0,2500,2500,-,-
13/01/2021 18:06:53,0,2500,2500,-,-
13/01/2021 19:01:02,0,2500,2500,-,-
13/01/2021 19:13:23,0,2500,2500,-,-
13/01/2021 20:16:33,0,2500,2500,-,-
13/01/2021 20:27:16,0,2500,2500,-,-
13/01/2021 22:41:26,0,2500,2500,-,-
13/01/2021 22:50:38,0,2500,2500,-,-
14/01/2021 00:56:42,0,2500,2500,-,-
14/01/2021 01:09:16,0,2500,2500,-,-
14/01/2021 02:56:58,0,2500,2500,-,-
14/01/2021 03:08:45,0,2500,2500,-,-
14/01/2021 08:00:31,0,2500,2500,-,-
14/01/2021 08:12:19,0,2500,2500,-,-
14/01/2021 13:25:51,0,2500,2500,-,-
14/01/2021 13:37:28,0,2500,2500,-,-
14/01/2021 16:36:51,0,2500,2500,-,-
14/01/2021 16:43:16,0,2500,2500,-,-
14/01/2021 20:11:25,0,2500,2500,-,-
14/01/2021 20:23:56,0,2500,2500,-,-
15/01/2021 00:07:04,0,2500,2500,-,-
15/01/2021 00:19:30,0,2500,2500,-,-
15/01/2021 03:04:25,0,2500,2500,-,-
15/01/2021 03:17:02,0,2500,2500,-,-
15/01/2021 05:15:08,0,2500,2500,-,-
15/01/2021 05:27:20,0,2500,2500,-,-
16/01/2021 05:14:13,0,2500,2500,-,-
16/01/2021 05:26:03,0,2500,2500,-,-
16/01/2021 06:16:58,0,2500,2500,-,-
16/01/2021 06:28:45,0,2500,2500,-,-
16/01/2021 07:19:39,0,2500,2500,-,-
16/01/2021 07:31:56,0,2500,2500,-,-
16/01/2021 08:23:40,0,2500,2500,-,-
16/01/2021 08:35:29,0,2500,2500,-,-
16/01/2021 09:27:23,0,2500,2500,-,-
16/01/2021 09:39:09,0,2500,2500,-,-
16/01/2021 10:31:13,0,2500,2500,-,-
16/01/2021 10:43:26,0,2500,2500,-,-
16/01/2021 15:57:00,0,2500,2500,-,-
16/01/2021 16:09:32,0,2500,2500,-,-
16/01/2021 17:02:58,0,2500,2500,-,-
16/01/2021 17:15:31,0,2500,2500,-,-
16/01/2021 19:05:33,0,2500,2500,-,-
16/01/2021 19:18:24,0,2500,2500,-,-
16/01/2021 20:15:50,0,2500,2500,-,-
16/01/2021 20:28:57,0,2500,2500,-,-
16/01/2021 22:42:54,0,2500,2500,-,-
16/01/2021 22:56:25,0,2500,2500,-,-
16/01/2021 23:53:44,0,2500,2500,-,-
17/01/2021 00:06:44,0,2500,2500,-,-
