,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:28:30,90,90,90,900,9499
11/01/2021 02:31:32,90,90,90,900,9499
11/01/2021 14:59:54,90,90,90,900,9499
11/01/2021 15:02:50,90,90,90,900,9499
11/01/2021 17:59:42,90,90,90,900,9499
11/01/2021 18:02:46,90,90,90,900,9499
16/01/2021 05:04:10,93,94,-,-,9499
16/01/2021 05:07:51,93,94,-,-,9499
16/01/2021 06:07:05,93,94,-,-,9499
16/01/2021 06:10:43,93,94,-,-,9499
16/01/2021 07:09:46,93,94,-,-,9499
16/01/2021 07:13:25,93,94,-,-,9499
16/01/2021 08:13:47,93,94,-,-,9499
16/01/2021 08:17:27,93,94,-,-,9499
16/01/2021 09:17:30,93,94,-,-,9499
16/01/2021 09:21:09,93,94,-,-,9499
16/01/2021 10:21:15,93,94,-,-,9499
16/01/2021 10:24:57,93,94,-,-,9499
16/01/2021 15:46:43,93,94,-,-,9499
16/01/2021 15:50:21,93,94,-,-,9499
16/01/2021 16:52:39,93,94,-,-,9499
16/01/2021 16:56:21,93,94,-,-,9499
