,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
13/01/2021 00:35:47,497,2500,2500,1,,,,
13/01/2021 01:05:15,497,2500,2500,1,,,,
13/01/2021 01:57:02,497,1500,2500,2,2000,2000,500000,707
13/01/2021 20:50:03,509,2000,2000,1,,,,
13/01/2021 23:11:34,509,2000,2000,2,2000,2000,0,0
14/01/2021 01:31:38,509,2000,2000,2,2000,2000,0,0
14/01/2021 03:30:16,509,2000,2000,2,2000,2000,0,0
14/01/2021 08:34:02,509,2000,2000,2,2000,2000,0,0
14/01/2021 13:58:07,509,2000,2000,2,2000,2000,0,0
14/01/2021 20:46:35,509,2000,2000,2,2000,2000,0,0
15/01/2021 00:40:52,509,2000,2000,2,2000,2000,0,0
15/01/2021 05:48:42,509,2000,2000,2,2000,2000,0,0
17/01/2021 02:20:12,512,480,500,2,490,490,200,14
17/01/2021 06:39:04,512,480,500,2,490,490,200,14
17/01/2021 10:23:09,512,480,500,2,490,490,200,14
17/01/2021 13:42:04,512,480,500,2,490,490,200,14
17/01/2021 16:55:49,512,480,600,2,540,540,7200,84
18/01/2021 17:46:29,511,399,400,2,399,399,0,0
