,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:40:47,91186,89899,112999,898999,-
11/01/2021 02:50:24,91186,89899,112999,898999,-
11/01/2021 15:12:06,91273,89899,112998,898998,-
11/01/2021 15:21:32,91273,89899,112998,898998,-
11/01/2021 18:12:10,91938,89899,114893,898997,-
11/01/2021 18:21:37,91938,89899,114893,898997,-
13/01/2021 14:08:23,87925,79999,84000,799999,-
13/01/2021 14:20:11,87925,79999,84000,799999,-
13/01/2021 15:22:15,87925,79999,84000,799999,-
13/01/2021 16:25:48,87925,79999,84000,799998,-
13/01/2021 16:37:59,87877,79999,-,799998,-
13/01/2021 18:00:09,87212,89988,-,899888,-
13/01/2021 18:12:46,87212,89988,-,899888,-
13/01/2021 19:06:55,87282,104996,104996,-,-
13/01/2021 19:19:15,87282,104996,104996,-,-
13/01/2021 20:22:40,87282,104996,104996,-,-
13/01/2021 20:33:11,87282,104996,104996,-,-
14/01/2021 01:02:47,87398,103000,103000,-,-
14/01/2021 01:15:14,87398,103000,103000,-,-
14/01/2021 03:02:38,87398,103000,103000,-,-
14/01/2021 03:14:19,87398,103000,103000,-,-
14/01/2021 08:06:09,87468,104993,104993,-,-
14/01/2021 08:17:58,87468,104993,104993,-,-
