,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:07,106,100,100,-,10666
11/01/2021 14:41:28,104,-,-,-,-
11/01/2021 17:41:14,109,99,-,-,9998
13/01/2021 12:06:48,152,100,100,-,13333
13/01/2021 12:54:14,146,100,100,-,15000
13/01/2021 13:32:31,147,100,100,-,15000
13/01/2021 14:43:07,147,100,100,-,14000
13/01/2021 15:46:32,147,100,100,-,14000
13/01/2021 17:19:10,144,100,100,-,14000
13/01/2021 18:26:33,143,100,100,-,14000
13/01/2021 19:40:37,143,100,100,-,13999
13/01/2021 22:04:51,142,100,100,-,13997
14/01/2021 00:22:08,142,100,100,-,13500
14/01/2021 02:23:25,139,139,-,-,13900
14/01/2021 07:27:04,139,139,-,1399,13995
