,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:10:09,102,109,-,-,10994
11/01/2021 14:41:31,104,109,-,-,10995
11/01/2021 17:41:17,103,100,-,-,10000
13/01/2021 12:06:55,108,-,-,-,-
13/01/2021 12:06:58,-,109,-,-,10995
13/01/2021 12:54:22,108,-,-,-,-
13/01/2021 12:54:25,108,-,-,-,-
13/01/2021 13:32:38,108,-,-,-,-
13/01/2021 13:32:42,108,-,-,-,-
13/01/2021 14:43:14,108,-,-,-,-
13/01/2021 14:43:17,108,-,-,-,-
13/01/2021 15:46:39,108,-,-,-,-
13/01/2021 15:46:42,108,-,-,-,-
13/01/2021 17:19:17,108,-,-,-,-
13/01/2021 17:19:21,108,-,-,-,-
13/01/2021 18:26:41,108,-,-,-,-
13/01/2021 18:26:44,108,-,-,-,-
13/01/2021 19:40:45,108,-,-,-,-
13/01/2021 19:40:48,108,-,-,-,-
13/01/2021 22:05:00,109,109,-,-,10900
13/01/2021 22:05:04,109,109,-,-,10900
14/01/2021 00:22:16,109,109,-,-,10900
14/01/2021 00:22:20,109,109,-,-,10900
14/01/2021 02:23:33,109,-,-,-,-
14/01/2021 02:23:37,109,-,-,-,-
14/01/2021 07:27:11,107,-,-,-,-
14/01/2021 07:27:15,107,-,-,-,-
14/01/2021 12:52:21,109,-,-,-,-
14/01/2021 12:52:24,109,-,-,-,-
14/01/2021 23:32:05,114,250,-,-,25000
14/01/2021 23:32:09,114,250,-,-,25000
15/01/2021 02:29:46,114,200,-,2000,25000
15/01/2021 02:29:50,114,200,-,2000,25000
15/01/2021 04:40:31,114,200,-,2000,25000
15/01/2021 04:40:34,114,200,-,2000,25000
16/01/2021 04:40:59,114,80,-,800,11000
16/01/2021 04:41:03,114,80,-,800,11000
16/01/2021 05:43:55,113,80,-,800,11000
16/01/2021 05:43:58,113,80,-,800,11000
16/01/2021 06:46:41,113,80,-,800,11000
16/01/2021 06:46:45,113,80,-,800,11000
16/01/2021 07:49:56,113,80,-,800,11000
16/01/2021 07:50:00,113,80,-,800,11000
16/01/2021 08:54:02,113,80,-,800,11000
16/01/2021 08:54:06,113,80,-,800,11000
16/01/2021 09:57:14,113,80,-,800,11000
16/01/2021 09:57:18,113,80,-,800,11000
16/01/2021 11:01:47,111,80,-,800,11000
16/01/2021 11:01:50,111,80,-,800,11000
16/01/2021 15:21:49,111,80,-,800,11000
16/01/2021 15:21:53,111,80,-,800,11000
16/01/2021 16:28:21,111,80,-,800,11000
16/01/2021 16:28:24,111,80,-,800,11000
16/01/2021 18:29:41,109,80,-,800,11000
16/01/2021 18:29:44,109,80,-,800,11000
16/01/2021 19:38:40,109,80,-,800,11000
16/01/2021 19:38:44,109,80,-,800,11000
16/01/2021 20:49:02,109,75,75,800,11000
16/01/2021 20:49:05,109,75,75,800,11000
16/01/2021 22:05:39,109,75,75,800,11000
16/01/2021 22:05:42,109,75,75,800,11000
16/01/2021 23:17:03,109,75,75,800,11000
16/01/2021 23:17:07,109,75,75,800,11000
17/01/2021 01:09:39,109,75,75,800,11000
17/01/2021 01:09:43,109,75,75,800,11000
17/01/2021 02:04:14,109,75,75,800,11000
17/01/2021 02:04:18,109,75,75,800,11000
17/01/2021 02:57:43,109,75,75,800,11000
17/01/2021 02:57:47,109,75,75,800,11000
17/01/2021 03:50:23,109,75,75,800,11000
17/01/2021 03:50:26,109,75,75,800,11000
17/01/2021 04:44:16,109,75,75,800,11000
17/01/2021 04:44:19,109,75,75,800,11000
17/01/2021 05:37:28,109,75,75,800,11000
17/01/2021 05:37:32,109,75,75,800,11000
17/01/2021 06:28:52,109,75,75,800,11000
17/01/2021 06:28:55,109,75,75,800,11000
17/01/2021 07:21:17,108,75,75,2000,11000
17/01/2021 07:21:20,108,75,75,2000,11000
17/01/2021 09:06:05,108,75,75,2000,11000
17/01/2021 09:06:08,108,75,75,2000,11000
17/01/2021 09:58:41,108,75,75,2000,11000
17/01/2021 09:58:44,108,75,75,2000,11000
17/01/2021 12:14:35,108,75,75,2000,11000
17/01/2021 12:14:38,108,75,75,2000,11000
17/01/2021 13:07:58,108,75,75,2000,11000
17/01/2021 13:08:01,108,75,75,2000,11000
17/01/2021 14:02:04,108,75,75,2000,11000
17/01/2021 14:02:07,108,75,75,2000,11000
17/01/2021 14:55:07,109,75,75,2000,11000
17/01/2021 14:55:11,109,75,75,2000,11000
17/01/2021 15:49:43,109,75,75,2000,11000
17/01/2021 15:49:47,109,75,75,2000,11000
18/01/2021 13:53:55,98,110,-,2000,11000
18/01/2021 13:53:59,98,110,-,2000,11000
18/01/2021 14:25:02,98,110,-,2000,11000
18/01/2021 14:25:07,98,110,-,2000,11000
18/01/2021 14:58:32,98,110,-,2000,11000
18/01/2021 14:58:36,98,110,-,2000,11000
18/01/2021 15:27:30,98,110,-,2000,11000
18/01/2021 15:27:35,98,110,-,2000,11000
18/01/2021 16:01:33,98,110,-,2000,11000
18/01/2021 16:01:38,98,110,-,2000,11000
18/01/2021 16:37:47,98,110,-,2000,11000
18/01/2021 16:37:51,98,110,-,2000,11000
18/01/2021 17:08:43,98,110,-,2000,11000
18/01/2021 17:08:48,98,110,-,2000,11000
18/01/2021 17:41:31,98,110,-,2000,11000
18/01/2021 17:41:35,98,110,-,2000,11000
18/01/2021 18:11:13,98,110,-,2000,11000
18/01/2021 18:11:17,98,110,-,2000,11000
