,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:11:46,678,500,670,5000,64665
11/01/2021 14:43:07,627,490,490,6500,64664
11/01/2021 17:42:54,645,649,750,6499,65000
13/01/2021 12:09:00,679,600,600,6497,66666
13/01/2021 12:56:29,675,599,599,6300,66666
13/01/2021 13:34:45,675,599,599,6300,66499
13/01/2021 14:45:17,675,599,599,6300,66499
13/01/2021 15:48:40,672,599,599,6300,66665
13/01/2021 17:21:29,672,599,599,6299,66660
13/01/2021 18:28:49,672,599,599,6299,66660
13/01/2021 19:42:53,672,599,599,6299,66660
13/01/2021 22:07:39,672,300,300,6200,49998
14/01/2021 00:24:24,670,499,599,6149,49998
14/01/2021 02:25:39,670,499,599,6149,49998
14/01/2021 07:29:15,579,499,600,6000,49999
