,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:11:44,3500,2799,2799,37850,349999
11/01/2021 14:43:05,3500,2799,2799,37850,349999
11/01/2021 17:42:51,3500,2799,2799,37850,349999
13/01/2021 12:08:57,3500,2795,2795,-,349999
13/01/2021 12:56:26,3500,2700,2700,37848,349999
13/01/2021 13:34:41,3500,2700,2700,37848,349999
13/01/2021 14:45:14,3500,2700,2700,-,349999
13/01/2021 15:48:37,3500,2700,2700,37848,349999
13/01/2021 17:21:25,3500,2700,2700,37848,349999
13/01/2021 18:28:45,3500,2700,2700,37848,349999
13/01/2021 19:42:50,3500,2700,2700,-,349999
14/01/2021 00:24:20,3500,2700,2700,37848,349999
14/01/2021 02:25:36,3500,2700,2700,37848,349999
14/01/2021 07:29:12,3524,2700,2700,37850,349999
14/01/2021 12:54:18,3524,2700,2700,37850,349999
14/01/2021 16:04:05,3524,2500,2500,37850,349999
14/01/2021 19:38:28,3524,2500,2500,37850,349999
14/01/2021 23:34:12,3501,2700,2700,30000,349999
15/01/2021 02:31:53,3501,2700,2700,29999,349999
15/01/2021 04:42:39,3501,2700,2700,29999,349999
16/01/2021 04:43:04,3444,2999,2999,37800,349999
16/01/2021 05:45:59,3444,2999,2999,37800,349999
16/01/2021 06:48:46,3444,2998,2998,37800,349999
16/01/2021 07:52:01,3444,2998,2998,37800,349999
16/01/2021 08:56:11,3444,2998,2998,37800,349999
16/01/2021 09:59:19,3472,2998,2998,37850,349999
16/01/2021 11:03:52,3472,2998,2998,37850,349999
16/01/2021 15:24:05,3472,2998,2998,37850,349998
16/01/2021 16:30:32,3472,2998,2998,37850,349998
16/01/2021 18:31:56,3472,2998,2998,37850,349998
16/01/2021 19:40:59,3472,2998,2998,37850,349998
16/01/2021 20:51:20,3472,2900,2900,37850,349998
16/01/2021 22:07:51,3472,2900,2900,37850,349998
16/01/2021 23:19:23,3472,2900,2900,37850,349998
