,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:12:15,353,2999,2999,-,-
11/01/2021 14:43:36,353,2999,2999,-,-
11/01/2021 17:43:23,353,2999,2999,-,-
13/01/2021 12:09:38,353,2997,2997,-,-
13/01/2021 12:57:06,353,2997,2997,-,-
13/01/2021 13:35:23,353,2997,2997,-,-
13/01/2021 14:45:54,353,2997,2997,-,-
13/01/2021 15:49:17,353,2997,2997,-,-
13/01/2021 17:22:08,353,2997,2997,-,-
13/01/2021 18:29:27,353,2997,2997,-,-
13/01/2021 19:43:32,353,2997,2997,-,-
13/01/2021 22:08:20,353,2997,2997,-,-
14/01/2021 00:25:04,353,2997,2997,-,-
14/01/2021 02:26:19,353,2997,2997,-,-
14/01/2021 07:29:51,353,2997,2997,-,-
