,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:13:02,305,217,499,4996,21798
11/01/2021 14:44:22,316,217,-,-,21797
11/01/2021 17:44:10,324,217,-,-,21797
13/01/2021 12:10:34,229,208,499,2350,20898
13/01/2021 12:58:01,229,208,499,2350,20888
13/01/2021 13:36:19,229,208,499,2350,20888
13/01/2021 14:46:49,232,208,500,2350,20888
13/01/2021 15:50:12,232,199,500,2350,19999
13/01/2021 17:23:05,232,199,500,2350,19999
13/01/2021 18:30:24,210,208,500,2350,20888
13/01/2021 19:44:27,214,208,500,2300,20888
13/01/2021 22:09:22,218,208,-,2200,20888
14/01/2021 00:26:02,214,199,199,2000,20000
14/01/2021 02:27:13,214,199,199,2000,20000
14/01/2021 07:30:46,214,199,230,2000,19999
14/01/2021 12:55:52,214,190,230,1900,19999
14/01/2021 16:05:46,215,159,2400,1590,19997
14/01/2021 19:40:10,213,159,-,1599,19000
14/01/2021 23:35:54,203,144,200,1998,14499
15/01/2021 02:33:32,203,144,200,1998,14499
15/01/2021 04:44:21,203,144,200,1998,14499
16/01/2021 04:44:42,161,179,-,1999,17999
16/01/2021 05:47:44,161,179,-,1999,17999
16/01/2021 06:50:24,161,179,-,1999,17999
16/01/2021 07:53:45,161,179,-,1999,17999
16/01/2021 08:57:53,161,179,-,1999,17999
16/01/2021 10:00:59,165,179,-,2000,17999
16/01/2021 11:05:35,167,179,-,2300,17999
16/01/2021 15:25:53,171,179,799,1999,17997
16/01/2021 16:32:15,180,179,800,1999,17997
16/01/2021 18:33:44,189,199,800,1999,19999
16/01/2021 19:42:52,195,199,999,1999,19999
16/01/2021 20:53:10,199,199,-,1999,19999
16/01/2021 22:09:42,199,199,-,1998,19998
16/01/2021 23:21:13,199,199,-,1999,19997
17/01/2021 01:13:30,200,199,-,2300,19997
17/01/2021 02:08:13,202,199,-,2490,19996
17/01/2021 03:01:30,202,199,-,2490,19996
17/01/2021 03:54:12,204,199,-,2700,19995
17/01/2021 04:48:23,204,199,-,2700,19995
17/01/2021 05:41:12,204,199,-,2700,19995
17/01/2021 06:32:41,204,199,-,2700,19995
17/01/2021 07:25:10,204,199,-,2040,19995
17/01/2021 09:09:54,204,199,-,2040,19995
17/01/2021 10:02:37,204,199,-,2040,19995
17/01/2021 12:18:29,203,195,200,2040,19500
17/01/2021 13:11:52,203,195,200,2040,19500
17/01/2021 14:06:01,203,195,200,2040,19500
17/01/2021 14:59:07,203,195,200,2040,19500
17/01/2021 15:53:34,203,195,200,2040,19500
18/01/2021 13:58:23,204,159,-,1999,15900
18/01/2021 14:29:51,204,159,-,1999,15900
18/01/2021 15:02:47,204,159,-,1999,15900
18/01/2021 15:31:54,204,159,-,1999,15900
18/01/2021 16:05:56,214,158,-,5000,15895
18/01/2021 16:42:13,227,158,-,5000,15895
18/01/2021 17:13:58,227,158,-,5000,15895
18/01/2021 17:45:48,227,158,-,5000,15895
18/01/2021 18:15:47,238,157,900,4990,15799
