,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:12:50,39,29,200,829,2997
11/01/2021 14:44:11,34,29,200,829,2997
11/01/2021 17:43:58,34,29,200,829,2997
13/01/2021 12:10:23,33,20,20,220,2996
13/01/2021 12:57:50,33,20,20,220,2996
13/01/2021 13:36:08,33,20,20,220,2996
13/01/2021 14:46:38,33,20,20,220,2996
13/01/2021 15:50:01,33,20,20,220,2996
13/01/2021 17:22:53,33,20,20,220,2996
13/01/2021 18:30:12,31,20,20,220,2998
13/01/2021 19:44:16,31,20,20,220,2998
13/01/2021 22:09:09,31,20,20,220,2998
14/01/2021 00:25:51,31,20,20,220,2998
14/01/2021 02:27:02,31,20,20,220,2998
14/01/2021 07:30:35,30,20,20,220,3998
14/01/2021 12:55:41,30,20,20,220,3998
14/01/2021 16:05:34,35,20,20,220,4000
14/01/2021 19:39:58,35,20,20,220,4000
14/01/2021 23:35:42,35,22,30,220,4000
15/01/2021 02:33:21,35,22,30,220,4000
15/01/2021 04:44:10,35,22,30,220,4000
16/01/2021 04:44:31,35,22,30,220,3569
16/01/2021 05:47:32,35,22,30,220,3569
16/01/2021 06:50:13,35,22,30,220,3569
16/01/2021 07:53:33,35,22,30,220,3569
16/01/2021 08:57:42,35,20,30,220,2000
16/01/2021 10:00:47,35,20,30,220,2000
16/01/2021 11:05:23,35,20,30,220,2000
16/01/2021 15:25:41,35,10,30,100,1999
16/01/2021 16:32:04,35,10,30,100,1999
16/01/2021 18:33:32,24,10,-,100,1999
16/01/2021 19:42:39,24,10,-,100,1998
16/01/2021 20:52:58,24,10,-,100,1998
16/01/2021 22:09:29,24,10,-,100,1998
16/01/2021 23:21:01,24,10,-,100,1998
17/01/2021 01:13:18,24,10,-,100,1997
17/01/2021 02:08:01,24,10,-,100,1997
17/01/2021 03:01:18,24,10,-,100,1997
17/01/2021 03:54:01,24,10,-,100,1997
17/01/2021 04:48:09,24,10,-,100,1997
17/01/2021 05:41:00,24,10,-,100,1997
17/01/2021 06:32:29,24,10,-,100,1997
17/01/2021 07:24:58,24,10,-,100,1997
17/01/2021 09:09:43,24,10,-,100,1997
17/01/2021 10:02:24,24,10,-,100,1997
17/01/2021 12:18:18,23,19,-,220,1996
17/01/2021 13:11:39,20,20,-,828,2000
17/01/2021 14:05:49,20,19,-,828,1999
17/01/2021 14:58:55,20,15,-,200,1500
17/01/2021 15:53:23,20,15,-,200,1500
18/01/2021 13:58:08,18,14,-,149,1499
18/01/2021 14:29:24,18,14,-,149,1499
18/01/2021 14:29:37,18,14,-,149,1499
18/01/2021 15:02:34,18,14,-,149,1499
18/01/2021 15:31:41,18,14,-,149,1499
18/01/2021 16:05:43,18,14,-,149,1499
18/01/2021 16:42:00,18,14,-,149,1499
18/01/2021 17:13:44,18,14,-,149,1499
18/01/2021 17:45:35,18,14,-,149,1499
18/01/2021 18:15:32,18,14,-,149,1499
