,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:14:38,378,290,500,2900,39996
11/01/2021 14:45:58,374,289,500,2899,39995
11/01/2021 17:45:47,374,289,350,2899,39995
13/01/2021 12:12:45,374,285,350,2850,39995
13/01/2021 13:00:06,374,285,350,2850,39995
13/01/2021 13:38:11,374,285,350,2850,39995
13/01/2021 14:48:54,374,285,350,2850,39991
13/01/2021 15:52:18,374,285,350,2850,39991
13/01/2021 17:25:16,374,284,350,2840,39991
13/01/2021 18:32:35,374,284,350,2840,39991
13/01/2021 19:46:34,374,284,350,2840,39991
13/01/2021 22:11:38,374,284,350,2840,39991
14/01/2021 00:28:12,374,284,350,2840,39991
14/01/2021 02:29:17,374,284,350,2840,39991
14/01/2021 07:32:50,374,284,350,2840,39991
14/01/2021 12:57:53,374,284,350,2840,39991
14/01/2021 16:07:57,374,284,350,2840,39991
14/01/2021 19:42:25,374,284,350,2840,39991
14/01/2021 23:38:09,374,284,350,2840,39900
15/01/2021 02:35:41,374,284,350,2840,39900
15/01/2021 04:46:31,374,284,350,2840,39900
16/01/2021 04:46:49,374,100,-,1000,12000
16/01/2021 05:49:50,374,100,-,1000,12000
16/01/2021 06:52:28,374,100,-,1000,12000
16/01/2021 07:55:54,374,100,-,1000,12000
16/01/2021 09:00:02,374,100,-,1000,12000
16/01/2021 10:03:03,374,100,-,1000,12000
16/01/2021 11:07:46,374,100,-,1000,12000
16/01/2021 15:28:10,374,100,-,1000,12000
16/01/2021 16:34:26,363,100,-,1000,12000
16/01/2021 18:35:56,287,100,-,1000,39900
16/01/2021 19:45:12,287,100,-,1000,39900
16/01/2021 20:55:32,287,100,-,1000,39900
16/01/2021 22:12:09,287,100,-,1000,39900
16/01/2021 23:23:31,287,100,-,1000,39900
17/01/2021 01:15:42,287,100,-,1000,39900
17/01/2021 02:10:22,287,100,-,1000,39900
17/01/2021 03:03:41,287,100,-,1000,39900
17/01/2021 03:56:22,287,100,-,1000,39900
17/01/2021 04:50:42,287,100,-,1000,39900
17/01/2021 05:43:18,287,100,-,1000,39900
17/01/2021 06:34:54,287,100,-,1000,39900
17/01/2021 07:27:18,287,100,-,1000,39900
17/01/2021 09:12:01,287,100,-,1000,39900
17/01/2021 10:04:58,287,100,-,1000,39900
17/01/2021 12:20:36,287,100,-,1000,39900
17/01/2021 13:14:08,287,100,-,1000,39900
17/01/2021 14:08:09,287,100,-,1000,39900
17/01/2021 15:01:20,287,100,-,1000,39900
17/01/2021 15:55:44,287,100,-,1000,39900
18/01/2021 14:32:09,287,100,-,1000,19500
18/01/2021 16:08:27,287,100,-,1000,19500
18/01/2021 17:47:55,287,100,-,1000,19500
