,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:14:32,1814,1000,1000,-,-
11/01/2021 14:45:53,1814,1000,1000,-,-
11/01/2021 17:45:41,1814,1000,1000,-,-
13/01/2021 12:12:37,1814,999,999,-,-
13/01/2021 12:59:58,1814,999,999,-,-
13/01/2021 13:38:08,1814,999,999,-,-
13/01/2021 14:48:47,1814,999,999,-,-
13/01/2021 15:52:10,1814,999,999,-,-
13/01/2021 17:25:09,1814,999,999,-,-
13/01/2021 18:32:28,1814,999,999,-,-
13/01/2021 19:46:26,1814,999,999,-,-
13/01/2021 22:11:31,1814,999,999,-,-
14/01/2021 00:28:04,1814,999,999,-,-
14/01/2021 02:29:10,1814,999,999,-,-
14/01/2021 07:32:42,1814,999,999,-,-
