,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:15:15,226,200,200,2000,21999
11/01/2021 14:46:33,225,200,200,2199,21899
11/01/2021 17:46:22,329,200,200,2200,44999
13/01/2021 12:13:33,313,200,200,2443,34499
13/01/2021 13:00:53,325,169,-,1699,34500
13/01/2021 14:49:41,325,169,-,1699,34500
13/01/2021 15:53:07,325,169,-,1699,34500
13/01/2021 17:26:05,325,169,-,1699,34500
13/01/2021 18:33:24,325,169,-,1699,34500
13/01/2021 19:47:22,325,169,-,1699,31499
13/01/2021 22:12:27,313,149,-,1699,14999
14/01/2021 00:29:00,313,149,160,1600,14999
14/01/2021 02:30:04,313,140,160,1400,14999
14/01/2021 07:33:37,313,140,160,1400,14999
