,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:38:41,6187,5000,5000,64500,-
11/01/2021 02:48:17,6187,5000,5000,64500,-
11/01/2021 15:10:00,6187,4999,4999,64500,-
11/01/2021 15:19:26,6187,4999,4999,64500,-
11/01/2021 18:10:02,6187,4950,4950,64500,-
11/01/2021 18:19:32,6187,4950,4950,64500,-
13/01/2021 14:05:33,6187,4950,4950,64500,-
13/01/2021 14:17:22,6187,4950,4950,64500,-
13/01/2021 15:19:23,6187,4950,4950,64000,-
13/01/2021 16:23:02,6187,4900,4900,64000,-
13/01/2021 16:35:09,6187,4900,4900,64000,-
13/01/2021 17:57:17,6187,4900,4900,64000,-
13/01/2021 18:09:54,6187,4900,4900,64000,-
13/01/2021 19:04:03,6187,4900,4900,64000,-
13/01/2021 19:16:22,6187,4900,4900,64000,-
13/01/2021 20:19:44,6187,4900,4900,64000,-
13/01/2021 20:30:16,6187,4900,4900,64000,-
13/01/2021 22:53:50,6187,4900,4900,64000,-
14/01/2021 00:59:47,6187,4900,4900,64000,-
14/01/2021 01:12:20,6187,4900,4900,64000,-
14/01/2021 02:59:51,6187,4900,4900,64000,-
14/01/2021 03:11:38,6187,4900,4900,64000,-
14/01/2021 08:03:23,6187,4900,4900,64000,-
14/01/2021 08:15:13,6187,4900,4900,64000,-
14/01/2021 13:28:42,6187,4900,4900,64000,-
14/01/2021 13:40:12,6187,4900,4900,64000,-
14/01/2021 16:46:11,6187,4900,4900,64000,-
14/01/2021 20:14:25,6187,4000,4000,64000,-
14/01/2021 20:27:11,6187,4000,4000,64000,-
15/01/2021 00:10:18,6187,4000,4000,64000,-
15/01/2021 00:22:43,6187,4000,4000,64000,-
15/01/2021 03:07:41,6187,4000,4000,64000,-
15/01/2021 03:20:14,6187,4000,4000,64000,-
15/01/2021 05:18:14,6187,4000,4000,64000,-
15/01/2021 05:30:28,6187,4000,4000,64000,-
16/01/2021 05:17:06,6187,3999,3999,64000,-
16/01/2021 05:28:56,6187,3999,3999,64000,-
16/01/2021 06:19:50,6187,3999,3999,64000,-
16/01/2021 06:31:39,6187,3999,3999,64000,-
16/01/2021 07:22:37,6187,3999,3999,64000,-
16/01/2021 07:34:51,6187,3999,3999,64000,-
16/01/2021 08:26:33,6187,3999,3999,64000,-
16/01/2021 08:38:29,6187,3999,3999,64000,-
16/01/2021 09:30:15,6187,3999,3999,64000,-
16/01/2021 09:42:07,6187,3999,3999,64000,-
16/01/2021 10:34:12,6187,3999,3999,64000,-
16/01/2021 10:46:21,6187,3999,3999,64000,-
16/01/2021 16:00:05,6187,6400,-,64000,-
16/01/2021 16:12:32,6187,6400,-,64000,-
16/01/2021 17:05:57,6187,6400,-,64000,-
16/01/2021 17:18:33,6187,6400,-,64000,-
