,average_sold_price,min_selling_price,per_1,per_10,per_100
13/01/2021 14:06:14,495,490,490,-,-
13/01/2021 14:18:03,495,490,490,-,-
13/01/2021 15:20:04,495,490,490,-,-
13/01/2021 16:23:42,495,490,490,-,-
13/01/2021 16:35:51,495,490,490,-,-
13/01/2021 17:58:00,495,490,490,-,-
13/01/2021 18:10:36,495,490,490,-,-
13/01/2021 19:04:44,495,490,490,-,-
13/01/2021 19:17:04,495,490,490,-,-
13/01/2021 20:20:27,495,490,490,-,-
13/01/2021 20:30:57,495,490,490,-,-
13/01/2021 22:54:35,495,490,490,-,-
14/01/2021 01:00:30,495,490,490,-,-
14/01/2021 01:13:01,495,490,490,-,-
14/01/2021 03:00:30,495,490,490,-,-
14/01/2021 03:12:18,495,490,490,-,-
14/01/2021 08:03:59,495,490,490,-,-
14/01/2021 08:15:49,495,490,490,-,-
14/01/2021 13:29:16,495,490,490,-,-
14/01/2021 13:40:46,495,490,490,-,-
16/01/2021 05:17:38,495,500,500,-,-
16/01/2021 05:29:27,495,500,500,-,-
16/01/2021 06:20:21,495,500,500,-,-
16/01/2021 06:32:10,495,500,500,-,-
16/01/2021 07:23:11,495,500,500,-,-
16/01/2021 07:35:23,495,500,500,-,-
16/01/2021 08:27:05,495,500,500,-,-
16/01/2021 08:39:02,495,500,500,-,-
16/01/2021 09:30:47,495,500,500,-,-
16/01/2021 09:42:39,495,500,500,-,-
16/01/2021 10:34:48,495,500,500,-,-
16/01/2021 10:46:55,495,500,500,-,-
16/01/2021 16:00:43,495,500,500,-,-
16/01/2021 16:13:09,495,500,500,-,-
16/01/2021 17:06:34,495,500,500,-,-
16/01/2021 17:19:11,495,500,500,-,-
16/01/2021 19:09:15,495,500,500,-,-
16/01/2021 19:22:15,495,500,500,-,-
16/01/2021 20:19:28,495,500,500,-,-
16/01/2021 20:32:38,495,500,500,-,-
16/01/2021 22:46:45,495,500,500,-,-
16/01/2021 23:00:17,495,500,500,-,-
16/01/2021 23:57:29,495,500,500,-,-
17/01/2021 00:10:35,495,500,500,-,-
17/01/2021 01:48:37,495,500,500,-,-
17/01/2021 02:42:12,495,500,500,-,-
17/01/2021 03:35:07,495,500,500,-,-
17/01/2021 04:28:23,495,500,500,-,-
17/01/2021 05:22:32,495,500,500,-,-
17/01/2021 06:14:04,495,500,500,-,-
17/01/2021 07:06:04,495,500,500,-,-
17/01/2021 07:58:20,495,500,500,-,-
17/01/2021 09:43:12,495,500,500,-,-
17/01/2021 10:37:21,495,500,500,-,-
17/01/2021 12:52:53,495,500,500,-,-
17/01/2021 13:46:35,495,500,500,-,-
17/01/2021 14:39:43,495,500,500,-,-
17/01/2021 15:34:05,495,500,500,-,-
17/01/2021 16:28:29,495,500,500,-,-
