,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:35:46,9228,2000,2000,23000,-
11/01/2021 02:45:22,9228,2000,2000,23000,-
11/01/2021 15:07:10,9228,2000,2000,23000,-
11/01/2021 15:16:35,9228,2000,2000,23000,-
11/01/2021 18:07:06,9228,2000,2000,23000,-
11/01/2021 18:16:36,9228,2000,2000,23000,-
13/01/2021 14:01:48,9228,2000,2000,23000,-
13/01/2021 14:13:38,9228,2000,2000,23000,-
13/01/2021 15:15:38,9228,2000,2000,23000,-
13/01/2021 16:19:17,9228,2000,2000,23000,-
13/01/2021 16:31:27,9228,2000,2000,23000,-
13/01/2021 17:53:25,9228,2000,2000,23000,-
13/01/2021 18:06:04,9228,2000,2000,23000,-
13/01/2021 19:00:13,9228,2000,2000,23000,-
13/01/2021 19:12:31,9228,2000,2000,23000,-
13/01/2021 20:15:41,9228,2000,2000,23000,-
13/01/2021 20:26:25,9228,2000,2000,23000,-
13/01/2021 22:40:34,9228,2000,2000,23000,-
13/01/2021 22:49:45,9228,2000,2000,23000,-
14/01/2021 00:55:55,9228,2000,2000,23000,-
14/01/2021 01:08:30,9228,2000,2000,23000,-
14/01/2021 02:56:14,9228,2000,2000,23000,-
14/01/2021 03:08:02,9228,2000,2000,23000,-
14/01/2021 07:59:48,9228,2000,2000,23000,-
14/01/2021 08:11:35,9228,2000,2000,23000,-
