,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:18:07,9,-,-,-,-
11/01/2021 14:49:29,9,-,-,-,-
11/01/2021 17:49:10,9,-,-,-,-
16/01/2021 21:00:27,9,5,600,50,-
16/01/2021 22:17:10,9,5,600,50,-
16/01/2021 23:28:20,9,5,600,50,-
17/01/2021 01:20:18,9,5,600,50,-
17/01/2021 02:14:58,9,5,600,50,-
17/01/2021 03:08:19,9,5,600,50,-
17/01/2021 04:00:56,9,5,600,50,-
17/01/2021 04:55:24,9,5,600,50,-
17/01/2021 05:47:40,9,5,600,50,-
17/01/2021 06:39:29,9,5,600,50,-
17/01/2021 07:31:42,9,5,600,50,-
17/01/2021 09:16:26,9,5,600,50,-
17/01/2021 10:09:47,9,5,600,50,-
17/01/2021 12:25:14,9,5,600,50,-
17/01/2021 13:18:47,9,5,600,50,-
17/01/2021 14:12:46,9,5,600,50,-
17/01/2021 15:06:01,9,5,600,50,-
17/01/2021 16:00:19,9,5,600,50,-
18/01/2021 14:00:12,9,4,-,49,900
18/01/2021 14:32:43,9,4,-,49,900
18/01/2021 15:04:41,9,4,-,49,900
18/01/2021 15:34:13,9,4,-,49,900
18/01/2021 16:11:06,9,4,-,49,900
18/01/2021 16:44:32,9,4,-,49,900
18/01/2021 17:15:50,9,4,-,49,900
18/01/2021 17:48:45,9,4,-,49,900
18/01/2021 18:18:18,9,4,-,49,900
