,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:38:43,999,99,99,8498,99999
11/01/2021 16:07:07,1018,399,399,9400,-
11/01/2021 19:07:38,1056,399,399,-,-
14/01/2021 02:04:03,1008,800,983,8000,199998
14/01/2021 07:07:49,1008,800,983,8000,199997
14/01/2021 12:32:38,2296,800,999,8000,-
14/01/2021 14:34:40,2296,800,999,8000,-
14/01/2021 15:41:36,2296,750,750,8000,-
14/01/2021 19:15:30,1831,749,749,8000,-
14/01/2021 23:10:28,1831,747,747,7999,89998
15/01/2021 02:08:32,1166,747,747,13199,200000
15/01/2021 04:18:46,1166,747,747,13000,200000
15/01/2021 11:07:42,1166,500,500,12900,199999
