,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:37:57,3436,10500,-,105000,1999988
11/01/2021 16:06:20,3436,8000,-,80000,1999988
11/01/2021 19:06:51,3436,8000,-,80000,1999988
14/01/2021 02:03:44,3436,3199,3199,59999,999999
14/01/2021 07:07:30,3436,3199,3199,59999,999999
14/01/2021 12:32:59,3436,3199,3199,59999,999999
14/01/2021 14:35:09,3436,3199,3199,59999,999999
14/01/2021 15:42:02,3436,3199,3199,59999,999999
14/01/2021 19:15:57,3436,3198,3198,59999,999999
14/01/2021 23:10:55,3436,3198,3198,59999,999999
15/01/2021 02:09:02,3436,3198,3198,59999,999888
15/01/2021 04:19:16,3436,3198,3198,59999,999888
15/01/2021 11:06:31,3436,2999,2999,59999,999888
