,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:40:23,256213,222222,239999,2222222,-
11/01/2021 16:08:46,246272,249999,249999,2548989,-
11/01/2021 19:09:19,243308,222222,-,2222222,-
14/01/2021 02:06:04,243444,219999,219999,2440000,-
14/01/2021 07:09:51,243444,219898,219898,2440000,-
14/01/2021 12:35:10,242037,219898,219898,2499998,-
14/01/2021 14:37:11,240620,227990,227990,2490000,-
14/01/2021 15:44:24,240620,227288,227288,2490000,-
14/01/2021 19:18:22,241937,254599,255000,2545999,-
14/01/2021 23:13:30,247006,254898,264997,2548988,-
15/01/2021 02:11:24,248266,254898,264996,2548988,-
15/01/2021 04:21:40,248266,242222,264996,2422222,-
15/01/2021 11:09:53,247633,225000,225000,2422222,-
