,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:17:59,926,890,900,20000,89000
11/01/2021 14:49:20,823,800,800,20000,88888
11/01/2021 17:49:01,835,749,750,10000,74999
13/01/2021 13:04:21,806,739,760,7395,84500
13/01/2021 13:38:42,806,739,760,7395,84500
13/01/2021 14:53:10,803,739,760,7396,84498
13/01/2021 15:56:35,840,739,760,7396,84498
13/01/2021 17:29:40,840,733,760,7333,84498
13/01/2021 18:36:59,819,739,760,7396,79000
13/01/2021 19:50:56,819,739,760,7393,78990
13/01/2021 22:16:09,804,800,900,8000,80000
14/01/2021 00:32:34,804,739,800,7399,77999
14/01/2021 02:33:32,804,700,900,7200,70000
14/01/2021 07:37:03,804,699,6000,7300,69999
14/01/2021 13:02:05,702,500,500,7000,69000
14/01/2021 16:12:26,734,500,500,9899,67998
14/01/2021 19:46:47,790,500,500,9000,84208
14/01/2021 23:42:33,759,780,780,8500,83495
15/01/2021 02:40:01,786,700,780,7000,83479
15/01/2021 04:50:52,786,700,780,7000,83478
16/01/2021 04:50:56,749,650,795,6500,74997
16/01/2021 05:53:58,714,700,700,7999,74996
16/01/2021 06:56:38,731,700,700,8499,74996
16/01/2021 08:00:14,761,700,700,8500,75998
16/01/2021 09:04:11,762,759,6000,9000,75999
16/01/2021 10:07:25,762,759,6000,9000,75997
16/01/2021 11:11:57,762,759,6000,9000,75996
16/01/2021 15:32:38,758,699,6000,6999,74400
16/01/2021 16:38:40,773,699,6000,6999,77497
16/01/2021 18:40:29,764,669,6000,6999,66999
16/01/2021 19:49:56,676,649,649,6999,67497
16/01/2021 21:00:15,667,699,-,6997,73997
16/01/2021 22:16:58,761,699,-,6998,76999
16/01/2021 23:28:08,774,699,-,6999,80000
