,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:21:10,9582,7999,7999,80000,-
11/01/2021 14:52:42,9464,7999,7999,80000,-
11/01/2021 17:52:24,9408,8000,8883,80000,-
13/01/2021 13:43:01,8657,8490,12990,84900,-
13/01/2021 13:43:05,8657,8490,12990,84900,-
13/01/2021 14:57:10,8681,8490,12990,84900,-
13/01/2021 14:57:13,8681,8490,12990,84900,-
13/01/2021 16:00:49,8681,8490,12990,84900,-
13/01/2021 16:00:52,8681,8490,12990,84900,-
13/01/2021 17:34:04,8691,8399,11500,83999,-
13/01/2021 17:34:08,8691,8399,11500,83999,-
13/01/2021 18:41:20,8816,8399,12000,83999,-
13/01/2021 18:41:23,8816,8399,12000,83999,-
13/01/2021 19:55:19,8871,8399,12990,83999,-
13/01/2021 19:55:22,8871,8399,12990,83999,-
13/01/2021 22:20:36,8871,8399,12990,83999,-
13/01/2021 22:20:40,8871,8399,12990,83999,-
14/01/2021 00:36:56,8851,8399,-,83999,-
14/01/2021 00:36:59,8851,8399,-,83999,-
14/01/2021 02:37:43,8831,8400,-,84000,-
14/01/2021 02:37:47,8831,8400,-,84000,-
14/01/2021 07:41:12,8797,8400,-,84000,-
14/01/2021 07:41:15,8797,8400,-,84000,-
14/01/2021 13:06:17,8763,8400,9998,84000,-
14/01/2021 13:06:20,8763,8400,9998,84000,-
14/01/2021 16:16:51,8785,8400,9997,84000,-
14/01/2021 16:16:55,8785,8400,9997,84000,-
14/01/2021 19:51:00,8737,8400,9000,84000,-
14/01/2021 19:51:03,8737,8400,9000,84000,-
14/01/2021 23:46:54,8740,8399,9996,83999,-
14/01/2021 23:46:58,8740,8399,9996,83999,-
15/01/2021 02:44:17,8763,8300,9900,83000,-
15/01/2021 02:44:20,8763,8300,9900,83000,-
15/01/2021 04:55:11,8763,8300,9900,83000,-
15/01/2021 04:55:14,8763,8300,9900,83000,-
16/01/2021 04:55:03,8696,8300,-,83000,-
16/01/2021 04:55:06,8696,8300,-,83000,-
16/01/2021 05:58:04,8712,8000,9666,80000,-
16/01/2021 05:58:07,8712,8000,9666,80000,-
16/01/2021 07:00:44,8712,8000,9666,80000,-
16/01/2021 07:00:47,8712,8000,9666,80000,-
16/01/2021 08:04:29,8712,8000,9666,80000,-
16/01/2021 08:04:32,8712,8000,9666,80000,-
16/01/2021 09:08:16,8712,8000,9665,80000,-
16/01/2021 09:08:19,8712,8000,9665,80000,-
16/01/2021 10:11:42,8729,8000,9665,80000,-
16/01/2021 10:11:45,8729,8000,9665,80000,-
16/01/2021 11:16:04,8729,8000,9555,80000,-
16/01/2021 11:16:08,8729,8000,9555,80000,-
16/01/2021 15:37:11,8757,7999,9776,79999,-
16/01/2021 15:37:15,8757,7999,9776,79999,-
16/01/2021 16:43:04,8762,7999,9776,79999,-
16/01/2021 16:43:07,8762,7999,9776,79999,-
16/01/2021 18:45:00,8762,7999,9776,79999,-
16/01/2021 18:45:04,8762,7999,9776,79999,-
16/01/2021 19:54:36,8751,7999,9899,79999,-
16/01/2021 19:54:40,8751,7999,9899,79999,-
16/01/2021 21:04:54,8689,7900,9899,79000,-
16/01/2021 21:04:58,8689,7900,9899,79000,-
16/01/2021 22:21:39,8715,7899,9899,78999,-
16/01/2021 22:21:43,8715,7899,9899,78999,-
16/01/2021 23:32:40,8715,7899,9899,78999,-
16/01/2021 23:32:44,8715,7899,9899,78999,-
17/01/2021 01:24:31,8715,7899,-,78999,-
17/01/2021 01:24:35,8715,7899,-,78999,-
17/01/2021 02:19:09,8715,7899,-,78998,-
17/01/2021 02:19:12,8715,7899,-,78998,-
17/01/2021 03:12:21,8715,7899,-,78998,-
17/01/2021 03:12:25,8715,7899,-,78998,-
17/01/2021 04:04:56,8680,7899,-,78999,-
17/01/2021 04:05:00,8680,7899,-,78999,-
17/01/2021 04:59:30,8680,7899,-,78999,-
17/01/2021 04:59:34,8680,7899,-,78999,-
17/01/2021 05:51:38,8680,7899,-,78999,-
17/01/2021 05:51:41,8680,7899,-,78999,-
17/01/2021 06:43:31,8702,7899,9898,78999,-
17/01/2021 06:43:34,8702,7899,9898,78999,-
17/01/2021 07:35:39,8673,7899,9898,78999,-
17/01/2021 07:35:43,8673,7899,9898,78999,-
17/01/2021 09:20:30,8673,7899,-,78999,-
17/01/2021 09:20:34,8673,7899,-,78999,-
17/01/2021 10:14:04,8640,7999,-,79999,-
17/01/2021 10:14:08,8640,7999,-,79999,-
17/01/2021 12:29:32,8640,7999,9799,79999,-
17/01/2021 12:29:36,8640,7999,9799,79999,-
17/01/2021 13:22:58,8645,7999,9799,79999,-
17/01/2021 13:23:02,8645,7999,9799,79999,-
17/01/2021 14:16:53,8617,7999,9799,79999,-
17/01/2021 14:16:56,8617,7999,9799,79999,-
17/01/2021 15:10:16,8617,7999,9799,79999,-
17/01/2021 15:10:19,8617,7999,9799,79999,-
17/01/2021 16:04:36,8612,7999,9800,79999,-
17/01/2021 16:04:40,8612,7999,9800,79999,-
