,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:19:36,59,50,50,999,5999
11/01/2021 14:51:02,59,39,50,500,3999
11/01/2021 17:50:43,59,50,50,998,6000
13/01/2021 13:40:59,46,49,5998,998,4999
13/01/2021 14:55:22,46,49,5998,998,4998
13/01/2021 15:58:48,46,49,5998,998,4998
13/01/2021 17:31:59,46,49,5998,998,4998
13/01/2021 18:39:17,46,49,5998,998,4998
13/01/2021 19:53:15,47,49,5998,998,4999
13/01/2021 22:18:30,48,49,5998,998,4999
14/01/2021 00:34:51,48,49,5998,998,4999
14/01/2021 02:35:43,48,47,5997,998,4700
14/01/2021 07:39:13,48,46,5997,998,4699
