,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:21:13,1602,50,50,25000,85000
11/01/2021 14:52:44,1638,850,3600,25000,85000
11/01/2021 17:52:26,1801,850,3600,30000,85000
13/01/2021 13:43:12,1904,700,-,29500,70000
13/01/2021 14:57:20,1904,700,-,29500,70000
13/01/2021 16:00:59,1904,700,-,29500,70000
13/01/2021 17:34:15,1904,700,-,29500,70000
13/01/2021 18:41:30,1904,700,-,29500,70000
13/01/2021 19:55:29,1904,700,-,29500,70000
13/01/2021 22:20:47,1904,700,-,29500,70000
14/01/2021 00:37:07,1904,700,-,29500,70000
14/01/2021 02:37:53,1904,700,-,29500,70000
14/01/2021 07:41:22,1904,700,1887,29500,70000
14/01/2021 13:06:27,1904,650,-,29500,65000
14/01/2021 16:17:02,1904,649,-,29500,64999
14/01/2021 19:51:10,1904,649,1886,29500,64999
14/01/2021 23:47:04,1904,649,1885,29500,64999
15/01/2021 02:44:26,1904,649,1885,29500,64999
15/01/2021 04:55:21,1904,649,1885,29500,64999
16/01/2021 04:55:12,1904,649,1888,25000,64999
16/01/2021 05:58:13,1904,649,1888,25000,64999
16/01/2021 07:00:53,1904,649,1888,25000,64999
16/01/2021 08:04:39,1904,649,1888,25000,64999
16/01/2021 09:08:26,1904,649,1888,25000,64999
16/01/2021 10:11:52,1904,649,1888,25000,64999
16/01/2021 11:16:14,1904,649,1888,25000,64999
16/01/2021 15:37:23,1904,600,1500,25000,60000
16/01/2021 16:43:14,1904,600,1500,25000,60000
16/01/2021 18:45:11,1904,600,1500,25000,60000
16/01/2021 19:54:48,1904,600,1500,25000,60000
16/01/2021 21:05:06,1904,600,1500,25000,60000
16/01/2021 22:21:50,1904,600,1499,25000,60000
16/01/2021 23:32:51,1904,600,1499,25000,60000
17/01/2021 01:24:43,1904,600,1499,25000,60000
17/01/2021 02:19:19,1904,600,1499,25000,60000
17/01/2021 03:12:31,1904,600,1499,25000,60000
17/01/2021 04:05:06,1904,600,1499,25000,60000
17/01/2021 04:59:41,1904,600,1499,25000,60000
17/01/2021 05:51:47,1904,600,1499,25000,60000
17/01/2021 06:43:41,1904,600,1499,25000,60000
17/01/2021 07:35:49,1904,600,1499,25000,60000
17/01/2021 09:20:41,1904,600,1499,25000,60000
17/01/2021 10:14:15,1904,600,1499,25000,60000
17/01/2021 12:29:43,1904,600,-,25000,60000
17/01/2021 13:23:09,1904,600,-,25000,60000
17/01/2021 14:17:03,1904,600,700,25000,60000
17/01/2021 15:10:27,1904,600,700,25000,60000
17/01/2021 16:04:47,1904,600,700,25000,60000
