,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:20:17,34,10,10,299,2998
11/01/2021 14:51:42,31,10,10,-,2999
11/01/2021 17:51:24,32,10,10,-,3500
13/01/2021 13:41:52,34,10,10,300,3290
13/01/2021 14:56:08,34,10,10,300,3290
13/01/2021 15:59:40,34,10,10,300,3290
13/01/2021 17:32:52,34,10,10,300,3290
13/01/2021 18:40:10,34,10,10,300,3290
13/01/2021 19:54:08,33,10,10,-,3290
13/01/2021 22:19:24,33,10,10,-,3290
14/01/2021 00:35:43,33,10,10,-,3290
14/01/2021 02:36:35,33,10,10,-,3290
14/01/2021 07:40:03,33,10,10,-,3290
14/01/2021 13:05:08,33,10,10,-,3000
14/01/2021 16:15:38,33,10,10,-,2999
14/01/2021 19:49:51,33,10,10,-,2999
14/01/2021 23:45:41,33,10,10,-,2999
15/01/2021 02:43:08,33,10,10,-,2800
15/01/2021 04:54:01,33,10,10,-,2800
16/01/2021 04:53:57,19,10,10,1900,2999
16/01/2021 05:56:58,19,10,10,1900,2999
16/01/2021 06:59:38,19,10,10,1900,2999
16/01/2021 08:03:21,19,10,10,1900,2999
16/01/2021 09:07:10,19,10,10,1900,2999
16/01/2021 10:10:33,19,10,10,1900,2999
16/01/2021 11:14:59,19,10,10,1900,2999
16/01/2021 15:35:57,19,10,10,1900,2500
16/01/2021 16:41:53,19,10,10,1900,2500
