,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:19:19,1284,1250,1800,19000,125000
11/01/2021 14:50:45,1284,1250,1800,19000,125000
11/01/2021 17:50:26,1284,1100,1800,19000,110000
13/01/2021 13:06:06,1180,1200,1800,19999,120000
13/01/2021 13:40:32,1180,1200,1800,19998,120000
13/01/2021 14:54:56,1180,989,1800,19998,98989
13/01/2021 15:58:22,1180,989,1800,19998,98989
13/01/2021 17:31:32,1180,989,1800,19998,98989
13/01/2021 18:38:51,1180,989,1800,19998,98989
13/01/2021 19:52:48,1180,989,1800,19998,98989
13/01/2021 22:18:02,1215,1299,1800,19998,129990
14/01/2021 00:34:24,1259,1299,1800,19998,129999
14/01/2021 02:35:18,1259,1299,1800,19998,129999
14/01/2021 07:38:48,1259,1250,1250,19998,129999
