,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:18:36,3880,3801,3999,42500,380123
11/01/2021 14:50:02,3855,3999,3999,42500,500000
11/01/2021 17:49:43,4259,3999,3999,47000,450000
13/01/2021 13:05:12,4385,3500,3500,39500,396998
13/01/2021 13:39:36,4385,3500,3500,39500,396998
13/01/2021 14:54:02,4385,3500,3500,39500,396998
13/01/2021 15:57:27,4385,3499,3500,39500,349999
13/01/2021 17:30:35,4385,3499,3500,39500,349999
13/01/2021 18:37:53,4385,3499,3500,39500,349999
13/01/2021 19:51:50,4385,3499,3500,39500,349999
13/01/2021 22:17:04,4385,3499,3500,39500,349999
14/01/2021 00:33:28,3990,3500,3500,39500,389999
14/01/2021 02:34:23,3990,3500,3500,39500,389999
14/01/2021 07:37:53,3990,3500,3500,39500,389999
