,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:20:57,6901,66666,66666,-,-
11/01/2021 14:52:28,6828,66666,66666,-,-
11/01/2021 17:52:10,6828,66666,66666,-,-
13/01/2021 13:42:48,6828,39999,55555,399998,-
13/01/2021 14:56:56,6828,39999,55555,399998,-
13/01/2021 16:00:35,6828,39999,55555,399998,-
13/01/2021 17:33:50,6828,35000,35000,399998,-
13/01/2021 18:41:06,6955,39999,55555,399998,-
13/01/2021 19:55:05,6955,39999,55555,399998,-
13/01/2021 22:20:22,7390,39999,55555,399998,-
14/01/2021 00:36:41,7390,35000,55555,350000,-
14/01/2021 02:37:29,7390,34999,-,349999,-
14/01/2021 07:40:58,7390,34999,55554,349999,-
14/01/2021 13:06:03,7390,34999,55554,349999,-
14/01/2021 16:16:36,7390,34999,-,349998,-
14/01/2021 19:50:46,7390,25000,-,250000,-
14/01/2021 23:46:40,7390,25000,-,250000,-
15/01/2021 02:44:03,7390,25000,-,250000,-
15/01/2021 04:54:57,7390,25000,55553,250000,-
16/01/2021 04:54:50,7632,9999,-,249998,999999
16/01/2021 05:57:51,7632,9999,-,249998,999999
16/01/2021 07:00:31,7632,9999,-,249998,999999
16/01/2021 08:04:16,7632,9999,-,249998,999999
16/01/2021 09:08:03,7632,9999,21111,249998,999999
16/01/2021 10:11:28,7632,9999,21111,249998,999999
16/01/2021 11:15:51,7632,9999,21111,249998,999999
16/01/2021 15:36:57,7632,9999,21111,249998,999999
16/01/2021 16:42:50,7632,9999,21111,249998,999999
16/01/2021 18:44:45,7632,9999,21111,249998,999999
16/01/2021 19:54:22,7632,9999,21111,249998,999999
16/01/2021 21:04:39,7632,9999,21111,249997,999999
16/01/2021 22:21:25,7632,9999,21111,249997,999999
16/01/2021 23:32:25,7632,9999,21111,249997,999999
17/01/2021 01:24:17,7632,9999,21111,249997,999999
17/01/2021 02:18:55,7632,9999,21111,249997,999999
17/01/2021 03:12:08,7632,9999,21111,249997,999999
17/01/2021 04:04:43,7632,9999,21111,249997,999999
17/01/2021 04:59:17,7632,9999,21111,249997,999999
17/01/2021 05:51:24,7632,9999,21111,249997,999999
17/01/2021 06:43:18,7632,9999,21111,249997,999999
17/01/2021 07:35:26,7632,9999,21111,249997,999999
17/01/2021 09:20:16,8367,21100,21100,249997,-
17/01/2021 10:13:50,8367,21100,21100,249997,-
17/01/2021 12:29:18,8367,19999,21049,199999,-
17/01/2021 13:22:44,8367,19999,21049,199999,-
17/01/2021 14:16:39,8367,19999,21049,199999,-
17/01/2021 15:10:02,8367,19999,21049,199999,-
17/01/2021 16:04:22,8367,19999,21049,199999,-
