,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:20:49,35946,35000,-,350000,-
11/01/2021 14:52:14,35946,35000,-,350000,-
11/01/2021 17:51:56,35946,35000,-,350000,-
13/01/2021 13:42:25,35594,25986,25986,-,-
13/01/2021 14:56:41,35594,24999,24999,-,-
13/01/2021 16:00:13,35504,25988,25988,-,-
13/01/2021 17:33:27,35419,-,-,-,-
13/01/2021 18:40:43,35419,-,-,-,-
13/01/2021 19:54:42,35377,-,-,-,-
13/01/2021 22:20:02,35377,-,-,-,-
14/01/2021 00:36:22,35377,-,-,-,-
14/01/2021 02:37:11,35377,-,-,-,-
14/01/2021 07:40:39,35377,-,-,-,-
