,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:19:08,9636,-,-,-,-
11/01/2021 14:50:33,9636,-,-,-,-
11/01/2021 17:50:14,9636,-,-,-,-
13/01/2021 13:05:51,9636,999,999,-,-
13/01/2021 13:40:17,9636,999,999,-,-
13/01/2021 14:54:41,9636,999,999,-,-
13/01/2021 15:58:07,9636,999,999,-,-
13/01/2021 17:31:16,9636,999,999,-,-
13/01/2021 18:38:35,9636,999,999,-,-
13/01/2021 19:52:33,9636,999,999,-,-
13/01/2021 22:17:46,9636,999,999,-,-
14/01/2021 00:34:09,9636,-,-,-,-
14/01/2021 02:35:03,9636,-,-,-,-
14/01/2021 07:38:33,9636,-,-,-,-
14/01/2021 13:03:36,9636,-,-,-,-
14/01/2021 16:14:02,9636,-,-,-,-
14/01/2021 19:48:19,9636,-,-,-,-
14/01/2021 23:44:05,9636,-,-,-,-
15/01/2021 02:41:35,9636,-,-,-,-
15/01/2021 04:52:28,9636,-,-,-,-
16/01/2021 04:52:28,9636,-,-,-,-
16/01/2021 05:55:29,9636,-,-,-,-
16/01/2021 06:58:10,9636,-,-,-,-
16/01/2021 08:01:49,9636,-,-,-,-
16/01/2021 09:05:42,9636,-,-,-,-
16/01/2021 10:09:00,9636,-,-,-,-
16/01/2021 11:13:29,9636,-,-,-,-
16/01/2021 15:34:18,9636,-,-,-,-
16/01/2021 16:40:17,9636,-,-,-,-
16/01/2021 18:42:09,9636,-,-,-,-
16/01/2021 19:51:40,9636,-,-,-,-
16/01/2021 21:01:59,9636,-,-,-,-
16/01/2021 22:18:43,9636,-,-,-,-
16/01/2021 23:29:50,9636,-,-,-,-
17/01/2021 01:21:42,9636,-,-,-,-
17/01/2021 02:16:24,9636,-,-,-,-
17/01/2021 03:09:43,9636,-,-,-,-
17/01/2021 04:02:18,9636,-,-,-,-
17/01/2021 04:56:51,9636,-,-,-,-
17/01/2021 05:49:02,9636,-,-,-,-
17/01/2021 06:40:54,9636,-,-,-,-
17/01/2021 07:33:03,9636,-,-,-,-
17/01/2021 09:17:47,9636,-,-,-,-
17/01/2021 10:11:15,9636,-,-,-,-
17/01/2021 12:26:42,9636,-,-,-,-
17/01/2021 13:20:12,9636,-,-,-,-
17/01/2021 14:14:12,9636,-,-,-,-
17/01/2021 15:07:29,9636,-,-,-,-
17/01/2021 16:01:47,9636,-,-,-,-
18/01/2021 14:01:35,9636,1950,-,19500,-
18/01/2021 14:34:01,9636,1950,-,19500,-
18/01/2021 14:34:04,9636,1950,-,19500,-
18/01/2021 15:05:58,9636,1950,-,19500,-
18/01/2021 15:06:02,9636,1950,-,19500,-
18/01/2021 16:45:56,9636,1950,-,19500,-
18/01/2021 17:50:03,9636,1950,-,19500,-
18/01/2021 17:50:07,9636,1950,-,19500,-
18/01/2021 18:19:47,9636,1950,-,19500,-
