,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:19:40,14,14,-,-,1497
11/01/2021 14:51:05,14,14,-,-,1400
11/01/2021 17:50:46,14,10,-,-,1000
13/01/2021 13:40:48,14,3,-,-,390
13/01/2021 14:55:11,14,3,-,-,390
13/01/2021 15:58:37,9,14,-,-,1400
13/01/2021 17:31:47,9,14,-,-,1400
13/01/2021 18:39:06,10,-,-,-,-
13/01/2021 19:53:03,10,-,-,-,-
13/01/2021 22:18:18,10,14,-,-,1497
14/01/2021 00:34:40,12,-,-,-,-
14/01/2021 02:35:32,12,-,-,-,-
14/01/2021 07:39:02,12,-,-,-,-
14/01/2021 13:04:06,12,-,-,-,-
14/01/2021 16:14:33,12,14,-,400,1497
14/01/2021 19:48:49,12,14,-,400,1497
14/01/2021 23:44:35,12,14,-,400,1497
15/01/2021 02:42:05,12,14,-,400,1497
15/01/2021 04:52:58,12,14,-,400,1497
16/01/2021 04:52:56,13,14,-,400,1490
16/01/2021 05:55:58,13,14,-,400,1490
16/01/2021 06:58:38,13,14,-,400,1490
16/01/2021 08:02:19,13,14,-,400,1490
16/01/2021 09:06:10,13,14,-,400,1490
16/01/2021 10:09:30,13,14,-,400,1490
16/01/2021 11:13:58,13,14,-,400,1490
16/01/2021 15:34:49,13,14,-,400,1490
16/01/2021 16:40:48,13,14,-,400,1490
16/01/2021 18:42:40,13,14,-,400,1490
16/01/2021 19:52:12,13,14,-,400,1490
16/01/2021 21:02:32,13,14,-,400,1490
16/01/2021 22:19:16,13,14,-,400,1490
16/01/2021 23:30:23,13,14,-,400,1490
17/01/2021 01:22:13,13,14,-,400,1490
17/01/2021 02:16:54,13,14,-,400,1490
17/01/2021 03:10:12,13,14,-,400,1490
17/01/2021 04:02:47,13,14,-,400,1490
17/01/2021 04:57:21,13,14,-,400,1490
17/01/2021 05:49:31,13,14,-,400,1490
17/01/2021 06:41:23,13,14,-,400,1490
17/01/2021 07:33:32,13,14,-,400,1490
17/01/2021 09:18:15,13,14,-,400,1490
17/01/2021 10:11:46,13,14,-,400,1490
17/01/2021 12:27:10,13,14,-,400,1490
17/01/2021 13:20:38,13,14,-,400,1490
17/01/2021 14:14:38,13,14,-,400,1490
17/01/2021 15:07:56,13,14,-,400,1490
17/01/2021 16:02:15,13,14,-,400,1490
18/01/2021 16:13:10,13,5,-,50,1200
18/01/2021 17:17:54,13,5,-,50,1200
