,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:39:54,28958,28880,29000,288800,-
11/01/2021 16:08:18,28949,28849,29898,288499,-
11/01/2021 19:08:50,28936,28849,29900,288499,-
14/01/2021 02:05:28,29615,29999,30000,299999,-
14/01/2021 07:09:14,-,29999,30000,299998,-
14/01/2021 12:34:35,29048,22899,22899,228994,-
14/01/2021 14:36:46,27745,22999,32499,229997,-
14/01/2021 15:43:48,27344,22999,-,229996,-
14/01/2021 19:17:43,25062,22999,-,229995,-
14/01/2021 23:12:51,24462,22949,31900,229498,-
15/01/2021 02:10:47,24055,21000,-,210000,-
15/01/2021 04:21:02,24055,20000,20000,210000,-
15/01/2021 11:09:16,-,22949,-,229498,-
