,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:33:15,2315,1300,1500,13000,-
11/01/2021 02:42:48,2315,1300,1500,13000,-
11/01/2021 15:04:34,2315,1300,1500,13000,-
11/01/2021 15:14:01,2315,1300,1500,13000,-
11/01/2021 18:04:32,2315,1300,1500,13000,-
11/01/2021 18:14:03,2315,1300,1500,13000,-
13/01/2021 13:58:30,2311,1199,1199,13000,-
13/01/2021 14:10:19,2311,1199,1199,13000,-
13/01/2021 15:12:18,2311,1199,1199,13000,-
13/01/2021 16:15:57,2311,1199,1199,13000,-
13/01/2021 16:28:13,2311,1199,1199,13000,-
13/01/2021 17:49:56,2311,1199,1199,13000,-
13/01/2021 18:02:38,2311,1199,1199,13000,-
13/01/2021 18:56:53,2311,1300,-,13000,-
13/01/2021 19:09:15,2311,1300,-,13000,-
13/01/2021 20:12:09,2168,1199,1199,13000,-
13/01/2021 22:36:55,2168,1199,1199,13000,-
13/01/2021 22:46:09,2168,1199,1199,13000,-
14/01/2021 00:52:07,2168,1199,1199,13000,-
14/01/2021 01:05:05,2168,1199,1199,13000,-
14/01/2021 02:52:57,2168,1199,1199,13000,-
14/01/2021 03:04:49,2168,1199,1199,13000,-
14/01/2021 07:56:39,2168,1199,1199,13000,-
14/01/2021 08:08:28,2168,1199,1199,13000,-
14/01/2021 13:21:56,2168,1199,1199,13000,-
14/01/2021 13:33:42,2168,1199,1199,13000,-
14/01/2021 16:32:50,2168,1199,1199,13000,-
14/01/2021 16:39:09,2168,1199,1199,13000,-
14/01/2021 20:07:22,2104,2000,2000,99999,-
14/01/2021 20:19:49,2104,2000,2000,99999,-
15/01/2021 00:02:55,2104,2000,2000,99999,-
15/01/2021 00:15:25,2104,2000,2000,99999,-
15/01/2021 03:00:12,2104,2000,2000,99999,-
15/01/2021 03:12:57,2104,2000,2000,99999,-
15/01/2021 05:10:59,2104,2000,2000,99999,-
15/01/2021 05:23:18,2104,2000,2000,99999,-
16/01/2021 05:10:10,2104,1995,1995,20000,-
16/01/2021 05:22:07,2104,1995,1995,20000,-
16/01/2021 06:13:03,2104,1995,1995,20000,-
16/01/2021 06:24:53,2104,1995,1995,20000,-
16/01/2021 07:15:44,2104,1995,1995,20000,-
16/01/2021 07:27:52,2104,1995,1995,20000,-
16/01/2021 08:19:47,2104,1995,1995,20000,-
16/01/2021 08:31:36,2104,1995,1995,20000,-
16/01/2021 09:23:30,2104,1995,1995,20000,-
16/01/2021 09:35:16,2104,1995,1995,20000,-
16/01/2021 10:27:18,2104,1995,1995,20000,-
16/01/2021 10:39:27,2104,1995,1995,20000,-
16/01/2021 15:52:48,2104,1995,1995,20000,-
16/01/2021 16:05:26,2104,1995,1995,20000,-
16/01/2021 16:58:48,2104,2000,-,20000,-
16/01/2021 17:11:21,2104,1995,1995,20000,-
16/01/2021 19:01:18,2104,1995,1995,20000,-
16/01/2021 19:14:04,2104,1995,1995,20000,-
16/01/2021 20:11:28,2104,1995,1995,20000,-
16/01/2021 20:24:24,2104,1995,1995,20000,-
16/01/2021 22:38:29,2104,1995,1995,19999,-
16/01/2021 22:52:00,2104,1995,1995,19999,-
16/01/2021 23:49:26,2104,1995,1995,19999,-
17/01/2021 00:02:25,2104,1995,1995,19999,-
17/01/2021 01:40:48,2104,1995,1995,19999,-
17/01/2021 02:34:42,2104,1995,1995,19999,-
17/01/2021 03:27:28,2104,1995,1995,19999,-
17/01/2021 04:20:30,2104,1995,1995,19999,-
17/01/2021 05:14:55,2104,1995,1995,19999,-
17/01/2021 06:06:42,2104,1995,1995,19999,-
17/01/2021 06:58:39,2104,1995,1995,19999,-
17/01/2021 07:50:51,2104,1995,1995,19999,-
17/01/2021 09:35:37,2104,1900,1900,19999,-
17/01/2021 10:29:48,2104,1900,1900,19999,-
17/01/2021 12:45:12,2104,1900,1900,19999,-
17/01/2021 13:38:48,2104,1900,1900,19999,-
17/01/2021 14:32:09,2104,1900,1900,19999,-
17/01/2021 15:26:09,2104,1900,1900,19999,-
17/01/2021 16:20:43,2104,1900,1900,19999,-
18/01/2021 14:10:55,2104,1899,1899,19999,-
18/01/2021 14:44:55,2104,1899,1899,19999,-
18/01/2021 14:46:04,2104,1899,1899,19999,-
18/01/2021 15:15:06,2104,1899,1899,19999,-
18/01/2021 15:16:52,2104,1899,1899,19999,-
18/01/2021 15:16:56,2104,1899,1899,19999,-
18/01/2021 15:47:04,2104,1899,1899,19999,-
18/01/2021 16:24:35,2104,1899,1899,19999,-
18/01/2021 17:28:08,2104,1899,1899,19999,-
18/01/2021 17:29:02,2104,1899,1899,19999,-
18/01/2021 17:29:06,2104,1899,1899,19999,-
18/01/2021 17:59:19,2104,1899,1899,19999,-
18/01/2021 18:00:16,2104,1899,1899,19999,-
18/01/2021 18:00:21,2104,1899,1899,19999,-
18/01/2021 18:30:36,2104,1899,1899,19999,-
18/01/2021 18:30:40,2104,1899,1899,19999,-
18/01/2021 18:31:33,2104,1899,1899,19999,-
18/01/2021 18:31:37,2104,1899,1899,19999,-
