,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:59:56,158305,149995,149995,-,-
11/01/2021 15:29:33,158263,148998,148998,-,-
11/01/2021 18:29:41,157981,-,-,-,-
14/01/2021 01:53:30,157350,148996,148996,-,-
14/01/2021 06:45:29,157312,148996,148996,-,-
14/01/2021 06:57:11,157312,148996,148996,-,-
14/01/2021 12:23:01,157312,148949,148949,-,-
14/01/2021 14:25:02,157312,148948,148948,-,-
14/01/2021 15:31:43,157312,148946,148946,-,-
14/01/2021 19:05:39,157312,148946,148946,-,-
14/01/2021 22:47:12,157312,-,-,-,-
14/01/2021 23:00:25,157312,-,-,-,-
15/01/2021 01:58:20,157240,141110,141110,-,-
15/01/2021 03:46:43,157240,141110,141110,-,-
15/01/2021 04:08:35,157240,141110,141110,-,-
15/01/2021 11:00:15,157167,141110,141110,-,-
17/01/2021 01:26:24,155575,-,-,-,-
17/01/2021 05:37:04,155575,-,-,-,-
17/01/2021 09:25:32,155575,-,-,-,-
17/01/2021 11:10:48,155575,141097,141097,-,-
17/01/2021 12:47:24,155510,141097,141097,-,-
17/01/2021 14:27:02,155381,141097,141097,-,-
17/01/2021 15:55:58,155253,141097,141097,-,-
17/01/2021 18:15:41,155253,141097,141097,-,-
18/01/2021 14:19:25,154629,141092,141092,-,-
18/01/2021 16:50:09,154508,141000,141000,-,-
18/01/2021 18:34:23,154387,140999,140999,-,-
