,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:15:35,841,994,999,10390,99400
11/01/2021 14:46:50,857,994,999,10399,99400
11/01/2021 17:46:39,865,980,999,10399,98000
13/01/2021 12:13:59,912,949,950,10000,94997
13/01/2021 13:01:18,912,949,950,10000,94997
13/01/2021 14:50:06,923,949,950,10000,94997
13/01/2021 15:53:32,924,949,1000,10000,94997
13/01/2021 17:26:32,924,940,1000,10000,94000
13/01/2021 18:33:49,924,940,1000,10000,94000
13/01/2021 19:47:47,924,400,400,10000,94000
13/01/2021 22:12:54,927,400,400,10444,94000
14/01/2021 00:29:26,927,400,400,10444,94000
14/01/2021 02:30:29,927,400,400,10444,94000
14/01/2021 07:34:02,927,400,400,10444,93999
