,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:13,5109,4900,5999,49000,499501
11/01/2021 15:26:01,5120,4995,6000,49997,499501
11/01/2021 18:26:07,5134,4995,25000,49999,499501
14/01/2021 02:11:29,5597,4995,6999,50000,499501
14/01/2021 07:15:18,5597,4995,6900,49998,499501
14/01/2021 12:40:24,5597,4995,-,49997,499501
14/01/2021 14:42:25,5547,4995,-,49998,499501
14/01/2021 15:49:51,5547,4995,-,49998,499501
14/01/2021 19:23:54,5501,4995,6899,49999,499501
14/01/2021 23:19:10,5468,4995,5500,50000,499501
15/01/2021 02:17:07,5468,4950,5500,49500,499501
15/01/2021 04:27:34,5468,4950,5500,49500,499501
17/01/2021 01:36:18,5443,4995,25000,-,499500
17/01/2021 02:38:02,5443,4900,4900,49497,499500
17/01/2021 05:47:31,5443,4900,4900,49497,499500
17/01/2021 06:57:44,5443,4900,4900,49497,499500
17/01/2021 09:36:04,5410,4900,4900,49497,499500
17/01/2021 11:20:11,5379,4900,4900,49497,499500
17/01/2021 12:58:13,5379,4899,4900,48999,499500
17/01/2021 14:37:30,5379,4875,4900,48750,499500
17/01/2021 16:06:30,5379,4875,4900,48750,499500
17/01/2021 18:26:24,5379,4899,4899,-,499500
18/01/2021 14:28:54,5347,4869,4900,48699,499500
18/01/2021 15:29:54,5347,4869,4900,48699,499500
18/01/2021 16:59:40,5347,4869,4900,48699,499500
