,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:26,6478,5000,5000,79999,-
11/01/2021 15:26:14,6478,5000,5000,79999,-
11/01/2021 18:26:20,6478,5000,5000,79000,648000
14/01/2021 02:11:45,6478,6480,-,79000,648000
14/01/2021 07:15:35,6478,6480,-,79000,648000
14/01/2021 12:40:41,6478,6480,-,78999,648000
14/01/2021 14:42:41,6478,6480,-,78999,648000
14/01/2021 15:50:09,6478,6480,-,78999,648000
14/01/2021 19:24:12,6478,6480,-,78999,648000
14/01/2021 23:19:28,6478,6480,-,78999,648000
15/01/2021 02:17:25,6478,6480,-,76500,648000
15/01/2021 04:27:51,6478,6480,-,76500,648000
17/01/2021 01:36:33,6478,6480,-,67000,648000
17/01/2021 01:36:37,6478,6480,-,67000,648000
17/01/2021 02:38:16,6478,6480,-,67000,648000
17/01/2021 02:38:19,6478,6480,-,67000,648000
17/01/2021 05:47:46,6478,6480,-,67000,648000
17/01/2021 05:47:50,6478,6480,-,67000,648000
17/01/2021 06:57:59,6478,6480,-,67000,648000
17/01/2021 06:58:03,6478,6480,-,67000,648000
17/01/2021 09:36:20,6478,6480,-,67000,648000
17/01/2021 09:36:24,6478,6480,-,67000,648000
17/01/2021 11:20:25,6478,6480,-,67000,648000
17/01/2021 11:20:29,6478,6480,-,67000,648000
17/01/2021 12:58:29,6478,6480,-,67000,648000
17/01/2021 12:58:33,6478,6480,-,67000,648000
17/01/2021 14:37:45,6478,6480,-,67000,648000
17/01/2021 14:37:49,6478,6480,-,67000,648000
17/01/2021 16:06:46,6478,6480,-,67000,648000
17/01/2021 16:06:50,6478,6480,-,67000,648000
17/01/2021 18:26:39,6478,6480,-,67000,648000
17/01/2021 18:26:43,6478,6480,-,67000,648000
18/01/2021 14:29:07,6478,6480,-,67000,648000
18/01/2021 14:29:11,6478,6480,-,67000,648000
18/01/2021 15:30:08,6478,6480,-,67000,648000
18/01/2021 15:30:11,6478,6480,-,67000,648000
18/01/2021 16:59:54,6478,6480,-,67000,648000
18/01/2021 16:59:58,6478,6480,-,67000,648000
