,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:04,1397,1999,2300,19999,-
11/01/2021 15:25:52,1397,1999,2300,19998,-
11/01/2021 18:25:56,1397,1500,2300,19998,150000
14/01/2021 02:11:18,1501,1200,1200,-,150000
14/01/2021 07:15:00,1501,1200,1200,-,150000
14/01/2021 07:15:07,1501,1200,1200,-,150000
14/01/2021 12:40:07,1501,1200,1200,-,150000
14/01/2021 12:40:14,1501,1200,1200,-,150000
14/01/2021 14:42:07,1501,1200,1200,-,150000
14/01/2021 14:42:14,1501,1200,1200,-,150000
14/01/2021 15:49:33,1501,1200,1200,-,150000
14/01/2021 15:49:40,1501,1200,1200,-,150000
14/01/2021 19:23:35,1499,1200,1200,15000,150000
14/01/2021 19:23:43,1499,1200,1200,15000,150000
14/01/2021 23:18:50,1498,1500,-,15000,150000
14/01/2021 23:18:58,1498,1500,-,15000,150000
15/01/2021 02:16:48,1498,1500,-,15000,150000
15/01/2021 02:16:56,1498,1500,-,15000,150000
15/01/2021 04:27:15,1498,1500,-,15000,150000
15/01/2021 04:27:23,1498,1500,-,15000,150000
