,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 18:26:04,3251,3500,-,-,350000
14/01/2021 02:11:25,3299,3500,-,-,350000
14/01/2021 07:15:15,3299,3500,-,-,350000
14/01/2021 12:40:21,3299,3500,-,-,350000
14/01/2021 14:42:22,3299,3500,-,-,350000
14/01/2021 15:49:48,3299,3500,-,-,350000
14/01/2021 19:23:51,3299,3500,-,-,350000
14/01/2021 23:19:06,3299,3500,-,-,350000
15/01/2021 02:17:04,3299,3500,-,-,350000
15/01/2021 04:27:30,3299,3500,-,-,350000
17/01/2021 01:36:13,3295,3200,-,32000,350000
17/01/2021 02:37:57,3295,3200,-,32000,350000
17/01/2021 05:47:27,3295,3200,-,32000,350000
17/01/2021 06:57:40,3295,3200,-,32000,350000
17/01/2021 09:35:59,3295,3200,-,32000,350000
17/01/2021 11:20:06,3295,3200,-,32000,350000
17/01/2021 12:58:08,3295,3200,-,32000,350000
17/01/2021 14:37:26,3295,3200,-,32000,350000
17/01/2021 16:06:25,3295,3200,-,32000,350000
17/01/2021 18:26:19,3295,3200,-,32000,350000
18/01/2021 14:28:50,3291,3200,-,32000,350000
18/01/2021 15:29:50,3291,3200,-,32000,350000
18/01/2021 16:59:36,3291,3200,-,32000,350000
