,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:50,1113,999,2999,9994,-
11/01/2021 14:54:21,1113,900,2999,9994,90000
11/01/2021 17:54:04,1113,900,1110,9994,90000
13/01/2021 13:45:15,1416,585,-,5850,-
13/01/2021 14:59:20,1416,585,-,5850,-
13/01/2021 22:22:52,1313,1500,-,15000,150000
14/01/2021 00:39:09,1371,1499,-,14999,279999
14/01/2021 02:39:50,1392,1500,-,15000,279999
14/01/2021 07:43:21,1392,1500,-,15000,279999
14/01/2021 13:08:25,1392,1499,-,14999,279999
14/01/2021 16:19:06,1392,1499,-,14999,279999
14/01/2021 19:53:09,1392,1499,-,14999,279999
14/01/2021 23:49:06,1392,1499,-,14999,279999
15/01/2021 02:46:29,1392,1499,-,14999,279999
16/01/2021 04:57:02,1690,585,-,5850,300000
16/01/2021 06:00:02,1690,585,-,5850,300000
16/01/2021 07:02:43,1690,585,-,5850,300000
16/01/2021 08:06:32,1690,585,-,5850,300000
16/01/2021 09:10:15,1690,585,-,5850,300000
16/01/2021 10:13:58,1690,585,-,5850,300000
16/01/2021 11:18:19,1690,585,-,5850,300000
16/01/2021 15:39:30,1690,585,-,5850,300000
16/01/2021 16:45:21,1690,585,-,5850,300000
