,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:47,200,100,100,2000,12000
11/01/2021 14:54:19,200,100,100,2000,12000
11/01/2021 17:54:01,200,100,100,2000,10000
13/01/2021 13:45:11,200,100,100,2000,10000
13/01/2021 14:59:17,200,100,100,2000,10000
13/01/2021 16:02:52,200,100,100,2000,10000
13/01/2021 17:36:15,200,100,100,2000,10000
13/01/2021 18:43:28,200,100,100,2000,10000
13/01/2021 19:57:31,200,100,100,2000,10000
13/01/2021 22:22:49,200,100,100,2000,10000
14/01/2021 00:39:06,200,100,100,2000,10000
14/01/2021 02:39:46,200,100,100,2000,10000
14/01/2021 07:43:17,200,100,100,2000,10000
